entity_id,source_file,source_record_id,company_name,address_street,address_city,address_state
ENT-000001,env_labs_standardized.csv,TNI01949,(809) US Air Force - Hill AFB Chemical Science Laboratory,,Hill AFB,Utah
ENT-000002,env_labs_standardized.csv,TNI02455,3B Analytical,,Portland,Oregon
ENT-000003,env_labs_standardized.csv,TNI00025,"A & B Environmental Services, Inc.",,Houston,Texas
ENT-000004,env_labs_standardized.csv,TNI02808,"A & B Environmental Services, Inc. Golden Triangle",,Nederland,Texas
ENT-000004,env_labs_standardized.csv,TNI02810,"A & B Environmental Services, Inc. Golden Triangle",,Nederland,Texas
ENT-000004,env_labs_standardized.csv,TNI02812,"A & B Environmental Services, Inc. Golden Triangle",,Nederland,Texas
ENT-000004,env_labs_standardized.csv,TNI02819,"A & B Environmental Services, Inc. Golden Triangle",,Nederland,Texas
ENT-000004,env_labs_standardized.csv,TNI02823,"A & B Environmental Services, Inc. Golden Triangle",,Nederland,Texas
ENT-000004,env_labs_standardized.csv,TNI02869,"A & B Environmental Services, Inc. Golden Triangle",,Nederland,Texas
ENT-000005,env_labs_standardized.csv,TNI01692,A & P WATER TESTING,,MORRISVILLE,New York
ENT-000006,env_labs_standardized.csv,TNI01083,"A.W. Research Laboratories, Inc.",,Brainerd,Minnesota
ENT-000007,env_labs_standardized.csv,TNI02017,"AbbVie Environmental, Health and Safety Laboratory",,Abbot Park,Illinois
ENT-000008,env_labs_standardized.csv,TNI00110,Abilene - Taylor County Public Health District,,Abilene,Texas
ENT-000009,env_labs_standardized.csv,TNI01127,AC Analytical & Consulting LLC,,Puposky,Minnesota
ENT-000010,env_labs_standardized.csv,TNI02461,"ACCU LABS, LLC",,Independence,Oregon
ENT-000011,env_labs_standardized.csv,TNI02515,"ACCURATE ANALYTICAL TESTING, LLC",,ROMULUS,Michigan
ENT-000012,env_labs_standardized.csv,TNI02407,Accurate Environmental Labs - OKC,,Stillwater,Oklahoma
ENT-000013,env_labs_standardized.csv,TNI01938,Accurate Environmental Labs - Stillwater,,Stillwater,Oklahoma
ENT-000014,env_labs_standardized.csv,TNI02539,Accurate Environmental Labs - Tulsa,,Stillwater,Oklahoma
