entity_id,num_source_files,source_files,company_name,cik,source_record_id,address_street,address_city,address_state,address_zip,address_country,source_name,website_url,contact_name,contact_email,phone,notes,company_status,stage,one_liner
ENT-000001,1,env_labs_standardized.csv,(809) US Air Force - Hill AFB Chemical Science Laboratory,,TNI01949,,Hill AFB,Utah,,,env_labs,,,,,,,,
ENT-000002,1,env_labs_standardized.csv,3B Analytical,,TNI02455,,Portland,Oregon,,,env_labs,,,,,,,,
ENT-000003,1,env_labs_standardized.csv,"A & B Environmental Services, Inc.",,TNI00025,,Houston,Texas,,,env_labs,,,,,,,,
ENT-000004,1,env_labs_standardized.csv,"A & B Environmental Services, Inc. Golden Triangle",,TNI02808,,Nederland,Texas,,,env_labs,,,,,,,,
ENT-000005,1,env_labs_standardized.csv,A & P WATER TESTING,,TNI01692,,MORRISVILLE,New York,,,env_labs,,,,,,,,
ENT-000006,1,env_labs_standardized.csv,"A.W. Research Laboratories, Inc.",,TNI01083,,Brainerd,Minnesota,,,env_labs,,,,,,,,
ENT-000007,1,env_labs_standardized.csv,"AbbVie Environmental, Health and Safety Laboratory",,TNI02017,,Abbot Park,Illinois,,,env_labs,,,,,,,,
ENT-000008,1,env_labs_standardized.csv,Abilene - Taylor County Public Health District,,TNI00110,,Abilene,Texas,,,env_labs,,,,,,,,
ENT-000009,1,env_labs_standardized.csv,AC Analytical & Consulting LLC,,TNI01127,,Puposky,Minnesota,,,env_labs,,,,,,,,
ENT-000010,1,env_labs_standardized.csv,"ACCU LABS, LLC",,TNI02461,,Independence,Oregon,,,env_labs,,,,,,,,
ENT-000011,1,env_labs_standardized.csv,"ACCURATE ANALYTICAL TESTING, LLC",,TNI02515,,ROMULUS,Michigan,,,env_labs,,,,,,,,
ENT-000012,1,env_labs_standardized.csv,Accurate Environmental Labs - OKC,,TNI02407,,Stillwater,Oklahoma,,,env_labs,,,,,,,,
ENT-000013,1,env_labs_standardized.csv,Accurate Environmental Labs - Stillwater,,TNI01938,,Stillwater,Oklahoma,,,env_labs,,,,,,,,
ENT-000014,1,env_labs_standardized.csv,Accurate Environmental Labs - Tulsa,,TNI02539,,Stillwater,Oklahoma,,,env_labs,,,,,,,,
ENT-000015,1,env_labs_standardized.csv,ACCUSTAR LABS,,TNI02980,,HARRISBURG,Pennsylvania,,,env_labs,,,,,,,,
ENT-000016,1,env_labs_standardized.csv,ACCUSTAR LABS,,TNI01776,,WARD HILL,Massachusetts,,,env_labs,,,,,,,,
ENT-000017,1,env_labs_standardized.csv,"Ackuritlabs, Inc.",,TNI00248,,Tallahassee,Florida,,,env_labs,,,,,,,,
ENT-000018,1,env_labs_standardized.csv,"ACZ Laboratories, Inc.",,TNI01951,,Steamboat Springs,Colorado,,,env_labs,,,,,,,,
ENT-000019,1,env_labs_standardized.csv,ADIRONDACK ENVIRONMENTAL SERVICES INC,,TNI01595,,ALBANY,New York,,,env_labs,,,,,,,,
ENT-000020,1,env_labs_standardized.csv,"Advanced Analysis, Inc.",,TNI00175,,Lubbock,Texas,,,env_labs,,,,,,,,
ENT-000021,1,env_labs_standardized.csv,"Advanced Analytical Laboratories, LLC",,TNI00143,,Whitehouse,Texas,,,env_labs,,,,,,,,
ENT-000022,1,env_labs_standardized.csv,ADVANCED ANALYTICAL TECHNOLOGIES,,TNI01758,,PEARL RIVER,New York,,,env_labs,,,,,,,,
ENT-000023,1,env_labs_standardized.csv,"Advanced Environmental Laboratories, Inc.",,TNI00252,,Jacksonville,Florida,,,env_labs,,,,,,,,
ENT-000024,1,env_labs_standardized.csv,"Advanced Environmental Laboratories, Inc. - Fort Myers",,TNI00552,,Fort Myers,Florida,,,env_labs,,,,,,,,
ENT-000025,1,env_labs_standardized.csv,"Advanced Environmental Laboratories, Inc. - Gainesville",,TNI00253,,Gainesville,Florida,,,env_labs,,,,,,,,
ENT-000026,1,env_labs_standardized.csv,"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI02827,,Lake Placid,Florida,,,env_labs,,,,,,,,
ENT-000027,1,env_labs_standardized.csv,"Advanced Environmental Laboratories, Inc. - Miami",,TNI00254,,Miramar,Florida,,,env_labs,,,,,,,,
ENT-000028,1,env_labs_standardized.csv,"Advanced Environmental Laboratories, Inc. - Orlando",,TNI00255,,Altamonte Springs,Florida,,,env_labs,,,,,,,,
ENT-000029,1,env_labs_standardized.csv,"Advanced Environmental Laboratories, Inc. - Tallahassee",,TNI02195,,Tallahassee,Florida,,,env_labs,,,,,,,,
ENT-000030,1,env_labs_standardized.csv,"Advanced Environmental Laboratories, Inc. - Tampa",,TNI00256,,Tampa,Florida,,,env_labs,,,,,,,,
ENT-000031,1,env_labs_standardized.csv,Advanced Technology Laboratories,,TNI01202,,Signal Hill,California,,,env_labs,,,,,,,,
ENT-000032,1,env_labs_standardized.csv,AG Environmental RSC LLC (DBA Sullivan County Labs),,TNI02607,,Ferndale,New York,,,env_labs,,,,,,,,
ENT-000033,1,env_labs_standardized.csv,AGAT LABORATORIES - CALGARY - 2420,,TNI03017,,Calgary,Alberta,,,env_labs,,,,,,,,
ENT-000034,1,env_labs_standardized.csv,AGAT LABORATORIES INC,,TNI02519,,ST-LAURENT,Not Applicable,,,env_labs,,,,,,,,
ENT-000035,1,env_labs_standardized.csv,AGQ USA,,TNI02648,,Oxnard,California,,,env_labs,,,,,,,,
ENT-000036,1,env_labs_standardized.csv,AIR CHEK,,TNI01701,,MILLS RIVER,North Carolina,,,env_labs,,,,,,,,
ENT-000037,1,env_labs_standardized.csv,"Air Hygiene International, Inc.",,TNI02280,,Broken Arrow,Oklahoma,,,env_labs,,,,,,,,
ENT-000038,1,env_labs_standardized.csv,Air Technology Laboratories Inc,,TNI00258,,City of Industry,California,,,env_labs,,,,,,,,
ENT-000039,1,env_labs_standardized.csv,AIRNOVA INC,,TNI01274,,PENNSAUKEN,New Jersey,,,env_labs,,,,,,,,
ENT-000040,1,env_labs_standardized.csv,AKRON (V) SEWAGE PLANT,,TNI01589,,AKRON,New York,,,env_labs,,,,,,,,
ENT-000041,1,env_labs_standardized.csv,Alabama Power Company General Testing Laboratory,,TNI02392,,Calera,Alabama,,,env_labs,,,,,,,,
ENT-000042,1,env_labs_standardized.csv,"Alamo Analytical Laboratories, Ltd.",,TNI00144,,San Antonio,Texas,,,env_labs,,,,,,,,
ENT-000043,1,env_labs_standardized.csv,"Alamo Analytical Laboratories, Ltd. - El Paso",,TNI02256,,El Paso,Texas,,,env_labs,,,,,,,,
ENT-000044,1,env_labs_standardized.csv,ALBANY COUNTY WATER PURIFICATION DISTRICT,,TNI01453,,MENANDS,New York,,,env_labs,,,,,,,,
ENT-000045,1,env_labs_standardized.csv,ALBANY WATER QUALITY LAB,,TNI01433,,SELKIRK,New York,,,env_labs,,,,,,,,
ENT-000046,1,env_labs_standardized.csv,Albert Lea Wastewater Treatment Plant,,TNI01098,,Albert Lea,Minnesota,,,env_labs,,,,,,,,
ENT-000047,1,env_labs_standardized.csv,ALBION (V) WATER PLANT,,TNI01698,,WATERPORT,New York,,,env_labs,,,,,,,,
ENT-000048,1,env_labs_standardized.csv,Albion Environmental,,TNI00050,,Bryan,Texas,,,env_labs,,,,,,,,
ENT-000049,1,env_labs_standardized.csv,"Alexin Analytical Laboratories, Inc.",,TNI00196,,Tigard,Oregon,,,env_labs,,,,,,,,
ENT-000050,1,env_labs_standardized.csv,ALLAB INC,,TNI02836,,BROOKLYN,New York,,,env_labs,,,,,,,,
ENT-000051,1,env_labs_standardized.csv,ALLEGANY COUNTY COMMUNITY ENVIRONMENTAL LABORATORY,,TNI02587,,BELMONT,New York,,,env_labs,,,,,,,,
ENT-000052,1,env_labs_standardized.csv,Alliance Source Testing LLC - Mobile Unit,,TNI02595,,Decatur,Alabama,,,env_labs,,,,,,,,
ENT-000053,1,env_labs_standardized.csv,Alliance Technical Group,,TNI02400,,Decatur,Alabama,,,env_labs,,,,,,,,
ENT-000054,1,env_labs_standardized.csv,Alliance Technical Group,,TNI00203,,Tigard,Oregon,,,env_labs,,,,,,,,
ENT-000055,1,env_labs_standardized.csv,"Alliance Technical Group - Carrollton, Texas",,TNI00167,,Carrollton,Texas,,,env_labs,,,,,,,,
ENT-000056,1,env_labs_standardized.csv,Alliance Technical Group - Greenville,,TNI00551,,Greenville,South Carolina,,,env_labs,,,,,,,,
ENT-000057,1,env_labs_standardized.csv,"ALLIANCE TECHNICAL GROUP, LLC",,TNI01322,,WILMINGTON,North Carolina,,,env_labs,,,,,,,,
ENT-000058,1,env_labs_standardized.csv,"ALLIANCE TECHNICAL GROUP, LLC - NEWARK",,TNI01285,,MOUNTAINSIDE,New Jersey,,,env_labs,,,,,,,,
ENT-000059,1,env_labs_standardized.csv,"Alliance Technical Group, LLC - Seattle",,TNI02227,,Seattle,Washington,,,env_labs,,,,,,,,
ENT-000060,1,env_labs_standardized.csv,"Alliance Technical Group, LLC DBA Interpoll Laboratories",,TNI01088,,Circle Pines,Minnesota,,,env_labs,,,,,,,,
ENT-000061,1,env_labs_standardized.csv,"Alliance Technical Group, LLC-Akron",,TNI00583,,Cuyahoga Falls,Ohio,,,env_labs,,,,,,,,
ENT-000062,1,env_labs_standardized.csv,"Alpha Analytical, Inc.",,TNI00197,,Sparks,Nevada,,,env_labs,,,,,,,,
ENT-000063,1,env_labs_standardized.csv,ALPHA LABS LLC,,TNI01800,,LONG ISLAND CITY,New York,,,env_labs,,,,,,,,
ENT-000064,1,env_labs_standardized.csv,ALS Environmental,,TNI01683,,Cincinnati,Ohio,,,env_labs,,,,,,,,
ENT-000065,1,env_labs_standardized.csv,ALS Environmental,,TNI02019,,Holland,Michigan,,,env_labs,,,,,,,,
ENT-000066,1,env_labs_standardized.csv,ALS Environmental - Irvine,,TNI02924,,Irvine,California,,,env_labs,,,,,,,,
ENT-000067,1,env_labs_standardized.csv,ALS Environmental - Jacksonville,,TNI00369,,Jacksonville,Florida,,,env_labs,,,,,,,,
ENT-000068,1,env_labs_standardized.csv,ALS Environmental - Middletown,,TNI02116,,Middletown,Pennsylvania,,,env_labs,,,,,,,,
ENT-000069,1,env_labs_standardized.csv,ALS ENVIRONMENTAL - NEWTOWN,,TNI01756,,NEWTOWN,Connecticut,,,env_labs,,,,,,,,
ENT-000070,1,env_labs_standardized.csv,ALS ENVIRONMENTAL - QUEENS,,TNI02476,,RICHMOND HILL,New York,,,env_labs,,,,,,,,
ENT-000071,1,env_labs_standardized.csv,ALS ENVIRONMENTAL - ROCHESTER,,TNI01454,,ROCHESTER,New York,,,env_labs,,,,,,,,
ENT-000072,1,env_labs_standardized.csv,ALS Environmental - Simi Valley,,TNI01213,,Simi Valley,California,,,env_labs,,,,,,,,
ENT-000073,1,env_labs_standardized.csv,ALS ENVIRONMENTAL - STRATFORD,,TNI01615,,STRATFORD,Connecticut,,,env_labs,,,,,,,,
ENT-000074,1,env_labs_standardized.csv,ALS ENVIRONMENTAL - TOMS RIVER,,TNI03009,,TOMS RIVER,New Jersey,,,env_labs,,,,,,,,
ENT-000075,1,env_labs_standardized.csv,ALS Environmental - Valparaiso,,TNI02447,,Valparaiso,Indiana,,,env_labs,,,,,,,,
ENT-000076,1,env_labs_standardized.csv,ALS Environmental Burlington - CANADA,,TNI01293,,Burlington,Ontario,,,env_labs,,,,,,,,
ENT-000077,1,env_labs_standardized.csv,ALS Environmental Holland MI,,TNI02268,,Holland,Michigan,,,env_labs,,,,,,,,
ENT-000078,1,env_labs_standardized.csv,"ALS Environmental, Kelso",,TNI00372,,Kelso,Washington,,,env_labs,,,,,,,,
ENT-000079,1,env_labs_standardized.csv,"ALS Laboratory Group, Environmental Services Division (Houston, Texas)",,TNI00037,,Houston,Texas,,,env_labs,,,,,,,,
ENT-000080,1,env_labs_standardized.csv,"Alternative Technologies, Inc.",,TNI02155,,Burnsville,Minnesota,,,env_labs,,,,,,,,
ENT-000081,1,env_labs_standardized.csv,AMA ANALYTICAL SERVICES INC,,TNI01623,,LANHAM,Maryland,,,env_labs,,,,,,,,
ENT-000082,1,env_labs_standardized.csv,"AMBIENT GROUP, INC.",,TNI01616,,NEW YORK,New York,,,env_labs,,,,,,,,
ENT-000083,1,env_labs_standardized.csv,"AMERICA SCIENCE TEAM NEW YORK, INC",,TNI01708,,NEW YORK,New York,,,env_labs,,,,,,,,
ENT-000084,1,env_labs_standardized.csv,AMERICAN ANALYTICAL LABORATORIES LLC.,,TNI01695,,FARMINGDALE,New York,,,env_labs,,,,,,,,
ENT-000085,1,env_labs_standardized.csv,American Analytics Inc.,,TNI02232,,Chatsworth,California,,,env_labs,,,,,,,,
ENT-000086,1,env_labs_standardized.csv,American Bottoms Regional Wastewater Treatment Facility,,TNI02020,,Sauget,Illinois,,,env_labs,,,,,,,,
ENT-000087,1,env_labs_standardized.csv,American Electric Power Dolan Chemical Laboratory,,TNI02223,,Groveport,Ohio,,,env_labs,,,,,,,,
ENT-000088,1,env_labs_standardized.csv,American Radiation Services (ARS),,TNI00266,,Port Allen,Louisiana,,,env_labs,,,,,,,,
ENT-000089,1,env_labs_standardized.csv,"American Testing Technologies, Inc.",,TNI02164,,Akron,Ohio,,,env_labs,,,,,,,,
ENT-000090,1,env_labs_standardized.csv,American Water Central Laboratory,,TNI02194,,Belleville,Illinois,,,env_labs,,,,,,,,
ENT-000091,1,env_labs_standardized.csv,American West Analytical Laboratories,,TNI01955,,Salt Lake City,Utah,,,env_labs,,,,,,,,
ENT-000092,1,env_labs_standardized.csv,AMERISCI RICHMOND,,TNI01636,,MIDLOTHIAN,Virginia,,,env_labs,,,,,,,,
ENT-000093,1,env_labs_standardized.csv,AMHERST (T) WPCF,,TNI01426,,AMHERST,New York,,,env_labs,,,,,,,,
ENT-000094,1,env_labs_standardized.csv,AMSTERDAM WATER TREATMENT,,TNI01604,,AMSTERDAM,New York,,,env_labs,,,,,,,,
ENT-000095,1,env_labs_standardized.csv,"Analytical Environmental Laboratory, LLC",,TNI00068,,Tyler,Texas,,,env_labs,,,,,,,,
ENT-000096,1,env_labs_standardized.csv,"Analytical Food Laboratories, Inc.",,TNI00182,,Grand Prairie,Texas,,,env_labs,,,,,,,,
ENT-000097,1,env_labs_standardized.csv,"Analytical Laboratories, Inc.",,TNI02545,,Boise,Idaho,,,env_labs,,,,,,,,
ENT-000098,1,env_labs_standardized.csv,Analytical Laboratory Group,,TNI00198,,Eugene,Oregon,,,env_labs,,,,,,,,
ENT-000099,1,env_labs_standardized.csv,"Analytical Resources, LLC",,TNI00199,,Tukwila,Washington,,,env_labs,,,,,,,,
