entity_id,num_source_files,source_files,company_name,cik,source_record_id,address_street,address_city,address_state,address_zip,address_country,source_name,website_url,contact_name,contact_email,phone,notes,company_status,stage,one_liner,is_gmp_facility,is_commercial,website_url_status,address_street_status,contact_name_status,contact_email_status,is_gmp_facility_status,is_commercial_status,company_name_clean,is_hq,name,google_latitude,google_longitude,google_geocode_source,google_geocode_formatted_address
ENT-000001,1,env_labs_standardized.csv,(809) US Air Force - Hill AFB Chemical Science Laboratory,,TNI01949,,Hill AFB,Utah,,,env_labs,,,,,,,,,,,search_found_nothing,no_website_fallback_search_failed,no_website_cannot_check_pages,no_website_cannot_check_pages,no_website_cannot_check_pages,no_website_cannot_check_pages,809 US Air Force Hill AFB Chemical Science Laboratory,True,HQ Lab @ 809 US Air Force Hill AFB Chemical Science Laboratory,41.1060282,-111.9733355,google_approximate,"Hill AFB, UT, USA"
ENT-000002,1,env_labs_standardized.csv,3B Analytical,,TNI02455,,Portland,Oregon,,,env_labs,https://www.3banalytical.com/,Meghan Brock,test@3banalytical.com,,,,,,,,found_via_search,found_via_fallback_search,found_via_fallback_search,found_via_fallback_search,"no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)","no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)",3B Analytical,True,HQ Lab @ 3B Analytical,45.515232,-122.6783853,google_approximate,"Portland, OR, USA"
ENT-000003,1,env_labs_standardized.csv,"A & B Environmental Services, Inc.",,TNI00025,"10100 East Freeway, Suite 100",Houston,Texas,,,env_labs,https://ablabs.com/,"Dr. Ram Ramakrishnan, Ph.D., C.I.H",info@ablabs.com,,,,,,no_explicit_gmp,True,found_via_search,extracted,found_via_fallback_search,extracted,extracted,extracted,A B Environmental Services,False,Houston Lab @ A B Environmental Services,29.772866,-95.250835,google_rooftop,"10100 East Fwy #100, Houston, TX 77029, USA"
ENT-000004,1,env_labs_standardized.csv,"A & B Environmental Services, Inc. Golden Triangle",,TNI02808,"2400 Hwy 365, Suite 110",Nederland,Texas,,,env_labs,https://ablabs.com/,John Watson,info@ablabs.com,,,,,,no_explicit_gmp,True,found_via_search,extracted,found_via_fallback_search,extracted,extracted,extracted,A B Environmental Services,False,Nederland Lab @ A B Environmental Services,29.956501,-93.9853486,google_rooftop,"2400 FM 365 #110, Nederland, TX 776276249, USA"
ENT-000005,1,env_labs_standardized.csv,A & P WATER TESTING,,TNI01692,15 East Main Street,MORRISVILLE,New York,,,env_labs,,,,,,,,,,,search_found_nothing,found_via_fallback_search,no_website_cannot_check_pages,no_website_cannot_check_pages,no_website_cannot_check_pages,no_website_cannot_check_pages,A P WATER TESTING,True,HQ Lab @ A P WATER TESTING,42.898782,-75.63878489999999,google_range_interpolated,"15 E Main, Morrisville, NY 13408, USA"
ENT-000006,1,env_labs_standardized.csv,"A.W. Research Laboratories, Inc.",,TNI01083,314 Charles Street,Brainerd,Minnesota,,,env_labs,https://awlab.com/,Sara Ahlers,sara@awlab.com,,,,,,no_explicit_gmp,True,found_via_search,extracted,extracted,found_via_fallback_search,extracted,extracted,AW Research Laboratories,True,HQ Lab @ AW Research Laboratories,46.3569891,-94.2154214,google_rooftop,"314 Charles St, Brainerd, MN 56401, USA"
ENT-000007,1,env_labs_standardized.csv,"AbbVie Environmental, Health and Safety Laboratory",,TNI02017,100 Abbot Park Rd,Abbot Park,Illinois,,,env_labs,,,,,,,,,,,search_found_nothing,found_via_fallback_search,no_website_cannot_check_pages,no_website_cannot_check_pages,no_website_cannot_check_pages,no_website_cannot_check_pages,AbbVie Environmental Health and Safety Laboratory,True,HQ Lab @ AbbVie Environmental Health and Safety Laboratory,42.3024798,-87.8968034,google_rooftop,"100 Abbott Park Rd, Abbott Park, IL 60064, USA"
ENT-000008,1,env_labs_standardized.csv,Abilene - Taylor County Public Health District,,TNI00110,,Abilene,Texas,,,env_labs,https://www.abilenetx.gov/,"Dr. Gary Holland, MD",healthde@abilenetx.gov,,,,,,no_explicit_gmp,False,found_via_search,found_via_fallback_search,found_via_fallback_search,extracted,extracted,"checked_pages_not_found (pages_checked=6,fetched_ok=6,total_text_chars=27337)",Abilene Taylor County Public Health District,True,HQ Lab @ Abilene Taylor County Public Health District,32.4534878,-99.73128290000001,google_approximate,"Abilene, TX, USA"
ENT-000009,1,env_labs_standardized.csv,AC Analytical & Consulting LLC,,TNI01127,21518 Basset Drive NW,Puposky,Minnesota,,,env_labs,,,,,,,,,,,search_found_nothing,found_via_fallback_search,no_website_cannot_check_pages,no_website_cannot_check_pages,no_website_cannot_check_pages,no_website_cannot_check_pages,AC Analytical Consulting,True,HQ Lab @ AC Analytical Consulting,47.6795152,-94.8890126,google_rooftop,"21518 Basset Dr NW, Puposky, MN 56667, USA"
ENT-000010,1,env_labs_standardized.csv,"ACCU LABS, LLC",,TNI02461,,Independence,Oregon,,,env_labs,,,,,,,,,,,search_found_nothing,found_via_fallback_search,no_website_cannot_check_pages,no_website_cannot_check_pages,no_website_cannot_check_pages,no_website_cannot_check_pages,ACCU LABS,True,HQ Lab @ ACCU LABS,44.8512305,-123.1867655,google_approximate,"Independence, OR, USA"
ENT-000011,1,env_labs_standardized.csv,"ACCURATE ANALYTICAL TESTING, LLC",,TNI02515,30105 Beverly Road,ROMULUS,Michigan,,,env_labs,https://accurate-test.com/,Robert Theys,customersupport@accurate-test.biz,,,,,,no_explicit_gmp,True,found_via_search,extracted,found_via_fallback_search,extracted,extracted,extracted,ACCURATE ANALYTICAL TESTING,True,HQ Lab @ ACCURATE ANALYTICAL TESTING,42.2599418,-83.3356306,google_rooftop,"30105 Beverly Rd, Romulus, MI 48174, USA"
ENT-000012,1,env_labs_standardized.csv,Accurate Environmental Labs - OKC,,TNI02407,,Stillwater,Oklahoma,,,env_labs,https://www.accuratelabs.com/,Danny Chance,Danny@accuratelabs.com,,,,,,,,found_via_search,found_via_fallback_search,found_via_fallback_search,found_via_fallback_search,"no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)","no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)",Accurate Environmental Labs OKC,True,HQ Lab @ Accurate Environmental Labs OKC,36.1157217,-97.0585722,google_approximate,"Stillwater, OK, USA"
ENT-000013,1,env_labs_standardized.csv,Accurate Environmental Labs - Stillwater,,TNI01938,,Stillwater,Oklahoma,,,env_labs,https://www.accuratelabs.com/,,,,,,,,,,found_via_search,found_via_fallback_search,"no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)","no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)","no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)","no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)",Accurate Environmental Labs,True,HQ Lab @ Accurate Environmental Labs,36.1157217,-97.0585722,google_approximate,"Stillwater, OK, USA"
ENT-000014,1,env_labs_standardized.csv,Accurate Environmental Labs - Tulsa,,TNI02539,,Stillwater,Oklahoma,,,env_labs,https://www.accuratelabs.com/,,danny@accuratelabs.com,,,,,,,,found_via_search,found_via_fallback_search,"no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)",found_via_fallback_search,"no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)","no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)",Accurate Environmental Labs Tulsa,True,HQ Lab @ Accurate Environmental Labs Tulsa,36.1157217,-97.0585722,google_approximate,"Stillwater, OK, USA"
ENT-000015,1,env_labs_standardized.csv,ACCUSTAR LABS,,TNI02980,,HARRISBURG,Pennsylvania,,,env_labs,https://www.accustarlabs.com/,,radonlabpa@accustarlabs.com,,,,,,no_explicit_gmp,True,found_via_search,extracted,"checked_pages_not_found (pages_checked=8,fetched_ok=8,total_text_chars=18483)",found_via_fallback_search,extracted,extracted,ACCUSTAR LABS,False,Harrisburg Lab @ ACCUSTAR LABS,40.2731911,-76.8867008,google_approximate,"Harrisburg, PA, USA"
ENT-000016,1,env_labs_standardized.csv,ACCUSTAR LABS,,TNI01776,2 Saber Way,WARD HILL,Massachusetts,,,env_labs,https://www.accustarlabs.com/,,,,,,,,no_explicit_gmp,True,found_via_search,extracted,"checked_pages_not_found (pages_checked=8,fetched_ok=8,total_text_chars=18483)","checked_pages_not_found (pages_checked=8,fetched_ok=8,total_text_chars=18483)",extracted,extracted,ACCUSTAR LABS,False,Ward Hill Lab @ ACCUSTAR LABS,42.7514275,-71.1122403,google_rooftop,"2 Saber Way, Haverhill, MA 01835, USA"
ENT-000017,1,env_labs_standardized.csv,"Ackuritlabs, Inc.",,TNI00248,3345 N Monroe St Ste B,Tallahassee,Florida,,,env_labs,https://www.ackuritlabs.com/,Todd Acker,[email protected],,,,,,no_explicit_gmp,True,found_via_search,extracted,extracted,extracted,extracted,extracted,Ackuritlabs,True,HQ Lab @ Ackuritlabs,30.4898745,-84.3217457,google_rooftop,"3345 N Monroe St Ste B, Tallahassee, FL 32303, USA"
ENT-000018,1,env_labs_standardized.csv,"ACZ Laboratories, Inc.",,TNI01951,2773 Downhill Drive,Steamboat Springs,Colorado,,,env_labs,https://acz.com/,Mark McNeal ext. 104,[email protected],,,,,,no_explicit_gmp,True,found_via_search,extracted,extracted,extracted,extracted,extracted,ACZ Laboratories,True,HQ Lab @ ACZ Laboratories,40.5090045,-106.8581329,google_rooftop,"2773 Downhill Dr, Steamboat Springs, CO 80487, USA"
