company_name,cik,source_record_id,address_street,address_city,address_state,address_zip,address_country,source_name,website_url,contact_name,contact_email,phone,notes,company_status,stage,one_liner
(809) US Air Force - Hill AFB Chemical Science Laboratory,,TNI01949,,Hill AFB,Utah,,,env_labs,,,,,,,,
3B Analytical,,TNI02455,,Portland,Oregon,,,env_labs,,,,,,,,
"A & B Environmental Services, Inc.",,TNI00025,,Houston,Texas,,,env_labs,,,,,,,,
"A & B Environmental Services, Inc. Golden Triangle",,TNI02808,,Nederland,Texas,,,env_labs,,,,,,,,
"A & B Environmental Services, Inc. Golden Triangle",,TNI02810,,Nederland,Texas,,,env_labs,,,,,,,,
"A & B Environmental Services, Inc. Golden Triangle",,TNI02812,,Nederland,Texas,,,env_labs,,,,,,,,
"A & B Environmental Services, Inc. Golden Triangle",,TNI02819,,Nederland,Texas,,,env_labs,,,,,,,,
"A & B Environmental Services, Inc. Golden Triangle",,TNI02823,,Nederland,Texas,,,env_labs,,,,,,,,
"A & B Environmental Services, Inc. Golden Triangle",,TNI02869,,Nederland,Texas,,,env_labs,,,,,,,,
A & P WATER TESTING,,TNI01692,,MORRISVILLE,New York,,,env_labs,,,,,,,,
"A.W. Research Laboratories, Inc.",,TNI01083,,Brainerd,Minnesota,,,env_labs,,,,,,,,
"AbbVie Environmental, Health and Safety Laboratory",,TNI02017,,Abbot Park,Illinois,,,env_labs,,,,,,,,
Abilene - Taylor County Public Health District,,TNI00110,,Abilene,Texas,,,env_labs,,,,,,,,
AC Analytical & Consulting LLC,,TNI01127,,Puposky,Minnesota,,,env_labs,,,,,,,,
"ACCU LABS, LLC",,TNI02461,,Independence,Oregon,,,env_labs,,,,,,,,
"ACCURATE ANALYTICAL TESTING, LLC",,TNI02515,,ROMULUS,Michigan,,,env_labs,,,,,,,,
Accurate Environmental Labs - OKC,,TNI02407,,Stillwater,Oklahoma,,,env_labs,,,,,,,,
Accurate Environmental Labs - Stillwater,,TNI01938,,Stillwater,Oklahoma,,,env_labs,,,,,,,,
Accurate Environmental Labs - Tulsa,,TNI02539,,Stillwater,Oklahoma,,,env_labs,,,,,,,,
ACCUSTAR LABS,,TNI02980,,HARRISBURG,Pennsylvania,,,env_labs,,,,,,,,
ACCUSTAR LABS,,TNI01776,,WARD HILL,Massachusetts,,,env_labs,,,,,,,,
"Ackuritlabs, Inc.",,TNI00248,,Tallahassee,Florida,,,env_labs,,,,,,,,
"ACZ Laboratories, Inc.",,TNI01951,,Steamboat Springs,Colorado,,,env_labs,,,,,,,,
ADIRONDACK ENVIRONMENTAL SERVICES INC,,TNI01595,,ALBANY,New York,,,env_labs,,,,,,,,
"Advanced Analysis, Inc.",,TNI00175,,Lubbock,Texas,,,env_labs,,,,,,,,
"Advanced Analytical Laboratories, LLC",,TNI00143,,Whitehouse,Texas,,,env_labs,,,,,,,,
ADVANCED ANALYTICAL TECHNOLOGIES,,TNI01758,,PEARL RIVER,New York,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc.",,TNI00252,,Jacksonville,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Fort Myers",,TNI00552,,Fort Myers,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Gainesville",,TNI00253,,Gainesville,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI02827,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI02829,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI02831,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI02834,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI02838,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI02842,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI02846,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI02849,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI02853,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI02856,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI02859,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI02863,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI02867,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI02873,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI02878,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI02882,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI02885,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI02893,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI02898,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI02904,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI02908,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI02912,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI02916,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI02921,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI02927,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI02933,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI02938,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI02944,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI02949,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI02955,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI02961,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI02964,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI02975,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI02985,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI02992,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI02999,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI03008,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI03018,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI03029,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI03037,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI03044,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI03051,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI03059,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI03069,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI03077,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI03089,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI03097,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI03106,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI03114,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI03122,,Lake Placid,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Miami",,TNI00254,,Miramar,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Orlando",,TNI00255,,Altamonte Springs,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Tallahassee",,TNI02195,,Tallahassee,Florida,,,env_labs,,,,,,,,
"Advanced Environmental Laboratories, Inc. - Tampa",,TNI00256,,Tampa,Florida,,,env_labs,,,,,,,,
Advanced Technology Laboratories,,TNI01202,,Signal Hill,California,,,env_labs,,,,,,,,
AG Environmental RSC LLC (DBA Sullivan County Labs),,TNI02607,,Ferndale,New York,,,env_labs,,,,,,,,
AG ENVIRONMENTAL RSC LLC DBA SULLIVAN COUNTY LABS,,TNI02520,,FERNDALE,New York,,,env_labs,,,,,,,,
AGAT LABORATORIES - CALGARY - 2420,,TNI03017,,Calgary,Alberta,,,env_labs,,,,,,,,
AGAT LABORATORIES - CALGARY - 2420,,TNI03028,,Calgary,Alberta,,,env_labs,,,,,,,,
