lab_id,company_name,lab_name,street_address,city,state,zip_code,is_hq,company_url,contact_name,contact_email,latitude,longitude,lab_type,data_source,phone_number,clia_number,specialty,date_collected
CLIA_CA_00001,Los Angeles Community Hospital At Bellflower,Los Angeles Community Hospital At Bellflower,9542 E Artesia Blvd,Bellflower,CA,90706,,,,,,,clinical,CMS_CLIA,(323) 881-2628,05D0059546,Routine Chemistry,20041217
CLIA_CA_00002,Glendora Hospital,Glendora Hospital,150 W Route 66,Glendora,CA,91740,,,,,,,clinical,CMS_CLIA,(626) 852-5000,05D0060297,Routine Chemistry,20050506
CLIA_CA_00003,Nikkei Pediatric Medical Group,Nikkei Pediatric Medical Group,"1245 Wilshire Blvd, Ste 635",Los Angeles,CA,90017,,,,,,,clinical,CMS_CLIA,(213) 617-7073,05D0541273,Routine Chemistry,20010507
CLIA_CA_00004,Eladh Lp/East Los Angeles Doctors Hospital,Eladh Lp/East Los Angeles Doctors Hospital,4060 Whittier Blvd,Los Angeles,CA,90023,,,,,,,clinical,CMS_CLIA,(323) 260-4126,05D0541988,Routine Chemistry,20100916
CLIA_CA_00005,Kfh West Los Angeles Blood Gas Laboratory,Kfh West Los Angeles Blood Gas Laboratory,6041 Cadillac Ave,Los Angeles,CA,90034,,,,,,,clinical,CMS_CLIA,(323) 857-3486,05D0543484,Routine Chemistry,20081125
CLIA_CA_00006,Bedford Health Associates Lab,Bedford Health Associates Lab,9001 Wilshire Ste 200,Beverly Hills,CA,90211,,,,,,,clinical,CMS_CLIA,(310) 271-2328,05D0543663,Routine Chemistry,20251216
CLIA_CA_00007,Nassir Medical Corporation Laboratory,Nassir Medical Corporation Laboratory,"5901 W Olympic Blvd, Ste 505",Los Angeles,CA,90036,,,,,,,clinical,CMS_CLIA,(323) 930-2324,05D0543664,Routine Chemistry,20260127
CLIA_CA_00008,Privilege Dx Medical Laboratories Inc,Privilege Dx Medical Laboratories Inc,10133 Riverside Dr,Toluca Lake,CA,91602,,,,,,,clinical,CMS_CLIA,(747) 203-1614,05D0543719,Routine Chemistry,20251209
CLIA_CA_00009,"James Richards, Md","James Richards, Md","6222 W Manchester Ave, Ste A",Los Angeles,CA,90045,,,,,,,clinical,CMS_CLIA,(310) 670-1840,05D0544111,Routine Chemistry,20230830
CLIA_CA_00010,Howard Sofen Md,Howard Sofen Md,"8930 S Sepulveda Blvd, Ste 114",Los Angeles,CA,90045,,,,,,,clinical,CMS_CLIA,(310) 337-7171,05D0544125,Routine Chemistry,20241121
CLIA_CA_00011,"Pediatric Group, Inc, The","Pediatric Group, Inc, The",250 N Robertson Blvd Ste 404,Beverly Hills,CA,90211,,,,,,,clinical,CMS_CLIA,(310) 273-9533,05D0544441,Routine Chemistry,20010621
CLIA_CA_00012,Tower Dermatology,Tower Dermatology,8631 W 3rd St Ste 1035E,Los Angeles,CA,90048,,,,,,,clinical,CMS_CLIA,(310) 659-9075,05D0544561,Routine Chemistry,20240729
CLIA_CA_00013,Kiumars Bakshandeh Md,Kiumars Bakshandeh Md,9730 Wilshire Blvd Suite 115,Beverly Hills,CA,90212,,,,,,,clinical,CMS_CLIA,(310) 274-6139,05D0544584,Routine Chemistry,19981202
CLIA_CA_00014,Elayne K Garber Md A Medical Corp,Elayne K Garber Md A Medical Corp,8631 W 3rd St Ste 700E,Los Angeles,CA,90048,,,,,,,clinical,CMS_CLIA,(310) 854-3539,05D0544586,Routine Chemistry,20250519
CLIA_CA_00015,"Brian E Dubow, Md","Brian E Dubow, Md","435 N Roxbury Dr, Ste 204",Beverly Hills,CA,90210,,,,,,,clinical,CMS_CLIA,(310) 888-4070,05D0544604,Routine Chemistry,20250610
CLIA_CA_00016,Corday Medical Group Lab,Corday Medical Group Lab,8635 W 3rd St Ste 485W,Los Angeles,CA,90048,,,,,,,clinical,CMS_CLIA,(310) 855-8081,05D0544614,Routine Chemistry,20251216
CLIA_CA_00017,Emmanuel Brandeis Md,Emmanuel Brandeis Md,292 S La Cienega # 100,Beverly Hills,CA,90211,,,,,,,clinical,CMS_CLIA,(310) 855-7504,05D0544616,Routine Chemistry,19961030
CLIA_CA_00018,Tower Urology Inc,Tower Urology Inc,"8635 W Third St, Ste 1W",Los Angeles,CA,90048,,,,,,,clinical,CMS_CLIA,(310) 854-9898,05D0544900,Routine Chemistry,20250611
CLIA_CA_00019,Jason A Rothbart Md,Jason A Rothbart Md,"10309 Santa Monica Blvd, Suite 300",Los Angeles,CA,90025,,,,,,,clinical,CMS_CLIA,(310) 552-3232,05D0545802,Routine Chemistry,19950502
CLIA_CA_00020,Scrc Medical Group Pc,Scrc Medical Group Pc,"450 N Roxbury Dr,  #500",Beverly Hills,CA,90210,,,,,,,clinical,CMS_CLIA,(310) 246-4948,05D0546234,Routine Chemistry,20230816
CLIA_CA_00021,Comprehensive Urology Medical Group,Comprehensive Urology Medical Group,8631 W 3rd St Ste 1115E,Los Angeles,CA,90048,,,,,,,clinical,CMS_CLIA,(818) 207-7409,05D0546491,Routine Chemistry,20230831
CLIA_CA_00022,Cardiovascular Medical Group,Cardiovascular Medical Group,"414 N Camden Dr,Ste 680",Beverly Hills,CA,90210,,,,,,,clinical,CMS_CLIA,(310) 278-3400,05D0546492,Routine Chemistry,20260129
CLIA_CA_00023,Dermatology Associates Of Beverly Hills,Dermatology Associates Of Beverly Hills,"465 N Roxbury Dr, Ste 803",Beverly Hills,CA,90210,,,,,,,clinical,CMS_CLIA,(310) 274-9954,05D0546501,Routine Chemistry,20250909
CLIA_CA_00024,Harry W Saperstein Md,Harry W Saperstein Md,8920 Wilshire Blvd Ste 545,Beverly Hills,CA,90211,,,,,,,clinical,CMS_CLIA,(310) 854-3003,05D0546645,Routine Chemistry,20240815
CLIA_CA_00025,Protzel Pathology Laboratory,Protzel Pathology Laboratory,"9735 Wilshire Blvd, Ste 241",Beverly Hills,CA,90212,,,,,,,clinical,CMS_CLIA,(310) 858-0874,05D0547058,Routine Chemistry,20250610
CLIA_CA_00026,"Prostate Oncology Specialist, Inc","Prostate Oncology Specialist, Inc","4560 Admiralty Way, Ste 111",Marina Del Rey,CA,90292,,,,,,,clinical,CMS_CLIA,(310) 827-7707,05D0547251,Routine Chemistry,20241008
CLIA_CA_00027,Healthcare Partners Affiliates Medical Group,Healthcare Partners Affiliates Medical Group,8311 East Florence Avenue,Downey,CA,90240,,,,,,,clinical,CMS_CLIA,(562) 988-7027,05D0547356,Routine Chemistry,19970616
CLIA_CA_00028,Pacific Dermatology Specialists,Pacific Dermatology Specialists,"11525 Brookshire Ave, Ste 101",Downey,CA,90241,,,,,,,clinical,CMS_CLIA,(562) 923-6450,05D0547476,Routine Chemistry,20240731
CLIA_CA_00029,Laboratory Corporation,Laboratory Corporation,19750 S Vermont Ave,Torrance,CA,90502,,,,,,,clinical,CMS_CLIA,(949) 230-0428,05D0548117,Routine Chemistry,20020418
CLIA_CA_00030,Michael B Scott Md Inc,Michael B Scott Md Inc,3637 Martin Luther King Jr Blvd Ste B,Lynwood,CA,90262,,,,,,,clinical,CMS_CLIA,(310) 537-9230,05D0548259,Routine Chemistry,20230426
CLIA_CA_00031,St. Francis Medical Center,St. Francis Medical Center,3630 E Imperial Hwy,Lynwood,CA,90262,,,,,,,clinical,CMS_CLIA,(310) 900-8610,05D0548351,Routine Chemistry,20070925
CLIA_CA_00032,"Marcos Yang, Md","Marcos Yang, Md",310 Tejon Place,Palos Verdes Estates,CA,90274,,,,,,,clinical,CMS_CLIA,(310) 375-2403,05D0548628,Routine Chemistry,20030624
CLIA_CA_00033,Healthcare Partners Affiliates,Healthcare Partners Affiliates,"25210 Crenshaw Blvd,  Ste 100",Torrance,CA,90505,,,,,,,clinical,CMS_CLIA,(562) 988-7027,05D0548686,Routine Chemistry,20000601
CLIA_CA_00034,Reproductive Partners Medical Group Inc,Reproductive Partners Medical Group Inc,23440 Hawthrone Blvd  Suite 230,Torrance,CA,90505,,,,,,,clinical,CMS_CLIA,(310) 318-3010,05D0548755,Routine Chemistry,20190614
CLIA_CA_00035,Centinela Hospital Medical Center,Centinela Hospital Medical Center,555 E Hardy St,Inglewood,CA,90301,,,,,,,clinical,CMS_CLIA,(310) 860-8390,05D0549308,Routine Chemistry,20080507
CLIA_CA_00036,Inter Science Institute,Inter Science Institute,944 W Hyde Park Blvd,Inglewood,CA,90302,,,,,,,clinical,CMS_CLIA,(310) 677-3322,05D0549406,Routine Chemistry,20000803
CLIA_CA_00037,Tenth Street Pediatric Medical Group Inc,Tenth Street Pediatric Medical Group Inc,1450 10th St Ste 304,Santa Monica,CA,90401,,,,,,,clinical,CMS_CLIA,(310) 458-1714,05D0549694,Routine Chemistry,20180619
CLIA_CA_00038,William A Pullen Md,William A Pullen Md,"1301 20th St, Ste 550",Santa Monica,CA,90404,,,,,,,clinical,CMS_CLIA,(310) 315-0231,05D0550065,Routine Chemistry,20221214
