lab_id,company_name,lab_name,street_address,city,state,zip_code,is_hq,company_url,contact_name,contact_email,latitude,longitude,lab_type,data_source,phone_number,clia_number,specialty,date_collected,npi_number,official_name,official_title,official_phone
CLIA_CA_00001,Los Angeles Community Hospital At Bellflower,Los Angeles Community Hospital At Bellflower,9542 E Artesia Blvd,Bellflower,CA,90706,,,,,33.874757,-118.13045,clinical,CMS_CLIA,(323) 881-2628,05D0059546,Routine Chemistry,20041217,1811318702,ROBERT ELDERS,Secretary,7147881249
CLIA_CA_00002,Glendora Hospital,Glendora Hospital,150 W Route 66,Glendora,CA,91740,,,,,34.128607,-117.865033,clinical,CMS_CLIA,(626) 852-5000,05D0060297,Routine Chemistry,20050506,1487249298,RODERICK BELL,Chief Financial Officer,5629972413
CLIA_CA_00003,Nikkei Pediatric Medical Group,Nikkei Pediatric Medical Group,"1245 Wilshire Blvd, Ste 635",Los Angeles,CA,90017,,,,,34.05341,-118.265633,clinical,CMS_CLIA,(213) 617-7073,05D0541273,Routine Chemistry,20010507,,,,
CLIA_CA_00004,Eladh Lp/East Los Angeles Doctors Hospital,Eladh Lp/East Los Angeles Doctors Hospital,4060 Whittier Blvd,Los Angeles,CA,90023,,,,,34.023864,-118.184294,clinical,CMS_CLIA,(323) 260-4126,05D0541988,Routine Chemistry,20100916,,,,
CLIA_CA_00005,Kfh West Los Angeles Blood Gas Laboratory,Kfh West Los Angeles Blood Gas Laboratory,6041 Cadillac Ave,Los Angeles,CA,90034,,,,,34.037836,-118.375491,clinical,CMS_CLIA,(323) 857-3486,05D0543484,Routine Chemistry,20081125,,,,
CLIA_CA_00006,Bedford Health Associates Lab,Bedford Health Associates Lab,9001 Wilshire Ste 200,Beverly Hills,CA,90211,,,,,34.067106,-118.387725,clinical,CMS_CLIA,(310) 271-2328,05D0543663,Routine Chemistry,20251216,,,,
CLIA_CA_00007,Nassir Medical Corporation Laboratory,Nassir Medical Corporation Laboratory,"5901 W Olympic Blvd, Ste 505",Los Angeles,CA,90036,,,,,34.057584,-118.35991,clinical,CMS_CLIA,(323) 930-2324,05D0543664,Routine Chemistry,20260127,,,,
CLIA_CA_00008,Privilege Dx Medical Laboratories Inc,Privilege Dx Medical Laboratories Inc,10133 Riverside Dr,Toluca Lake,CA,91602,,,,,34.152262,-118.351851,clinical,CMS_CLIA,(747) 203-1614,05D0543719,Routine Chemistry,20251209,,,,
CLIA_CA_00009,"James Richards, Md","James Richards, Md","6222 W Manchester Ave, Ste A",Los Angeles,CA,90045,,,,,33.959744,-118.394149,clinical,CMS_CLIA,(310) 670-1840,05D0544111,Routine Chemistry,20230830,,,,
CLIA_CA_00010,Howard Sofen Md,Howard Sofen Md,"8930 S Sepulveda Blvd, Ste 114",Los Angeles,CA,90045,,,,,33.955676,-118.396044,clinical,CMS_CLIA,(310) 337-7171,05D0544125,Routine Chemistry,20241121,,,,
CLIA_CA_00011,"Pediatric Group, Inc, The","Pediatric Group, Inc, The",250 N Robertson Blvd Ste 404,Beverly Hills,CA,90211,,,,,34.069459,-118.383655,clinical,CMS_CLIA,(310) 273-9533,05D0544441,Routine Chemistry,20010621,,,,
CLIA_CA_00012,Tower Dermatology,Tower Dermatology,8631 W 3rd St Ste 1035E,Los Angeles,CA,90048,,,,,34.073632,-118.379877,clinical,CMS_CLIA,(310) 659-9075,05D0544561,Routine Chemistry,20240729,,,,
CLIA_CA_00013,Kiumars Bakshandeh Md,Kiumars Bakshandeh Md,9730 Wilshire Blvd Suite 115,Beverly Hills,CA,90212,,,,,34.067017,-118.407293,clinical,CMS_CLIA,(310) 274-6139,05D0544584,Routine Chemistry,19981202,,,,
CLIA_CA_00014,Elayne K Garber Md A Medical Corp,Elayne K Garber Md A Medical Corp,8631 W 3rd St Ste 700E,Los Angeles,CA,90048,,,,,34.073632,-118.379877,clinical,CMS_CLIA,(310) 854-3539,05D0544586,Routine Chemistry,20250519,,,,
