company_name,cik,source_record_id,address_street,address_city,address_state,address_zip,address_country,source_name,website_url,contact_name,contact_email,phone,notes,company_status,stage,one_liner,source_file
TECOMET,,5cd6fca71a088e8c,,Arab,AL,,US,biopharmguy_cmos,https://www.tecomet.com/,,,,,,,,biopharmguy_cmos_standardized.csv
OXFORD PHARMACEUTICALS,,28ff08029460d20d,,Birmingham,AL,,US,biopharmguy_cmos,https://oxford-rx.com/,,,,,,,,biopharmguy_cmos_standardized.csv
TRIRX PHARMACEUTICAL SERVICES,,b9012947e075d48d,,Huntsville,AL,,US,biopharmguy_cmos,https://www.trirx.com/,,,,,,,,biopharmguy_cmos_standardized.csv
MACHINE SOLUTIONS,,02d5ee7e6e98475b,,Flagstaff,AZ,,US,biopharmguy_cmos,https://www.machinesolutions.com/,,,,,,,,biopharmguy_cmos_standardized.csv
CONFLUENT MEDICAL TECHNOLOGIES,,65668791f70f5570,,Scottsdale,AZ,,US,biopharmguy_cmos,https://confluentmedical.com/,,,,,,,,biopharmguy_cmos_standardized.csv
APTYX,,b382a1f09d4d53a0,,Tempe,AZ,,US,biopharmguy_cmos,https://aptyx.com/,,,,,,,,biopharmguy_cmos_standardized.csv
THERAGENT,,f24ee451bccf18e4,,Arcadia,CA,,US,biopharmguy_cmos,https://theragent.com/,,,,,,,,biopharmguy_cmos_standardized.csv
NORAC PHARMA,,96ffbcfc9c84de67,,Azusa,CA,,US,biopharmguy_cmos,https://noracpharma.com/,,,,,,,,biopharmguy_cmos_standardized.csv
FREUDENBERG MEDICAL,,1eb398b23ec9909f,,Baldwin Park,CA,,US,biopharmguy_cmos,https://www.freudenbergmedical.com/,,,,,,,,biopharmguy_cmos_standardized.csv
BAYER BIOPARTNERING SOLUTIONS,,797961ec8a72f16d,,Berkeley,CA,,US,biopharmguy_cmos,https://www.bayer.com/en/us/BioPartneringSolutions,,,,,,,,biopharmguy_cmos_standardized.csv
LIFE SCIENCE OUTSOURCING,,7aee7e58204c4582,,Brea,CA,,US,biopharmguy_cmos,https://lso-inc.com/,,,,,,,,biopharmguy_cmos_standardized.csv
LIST BIOLOGICAL LABORATORIES,,c830e80a265c056a,,Campbell,CA,,US,biopharmguy_cmos,https://listlabs.com/,,,,,,,,biopharmguy_cmos_standardized.csv
ARGONAUT MANUFACTURING SERVICES,,e9fd0f44f82ff574,,Carlsbad,CA,,US,biopharmguy_cmos,https://www.argonautms.com/,,,,,,,,biopharmguy_cmos_standardized.csv
CARLSBAD TECHNOLOGY,,a14c72213bcc821a,,Carlsbad,CA,,US,biopharmguy_cmos,http://carlsbadtech.com/,,,,,,,,biopharmguy_cmos_standardized.csv
DCN DX,,7650daa288131def,,Carlsbad,CA,,US,biopharmguy_cmos,https://dcndx.com/,,,,,,,,biopharmguy_cmos_standardized.csv
EXONBIO,,936316d26e926da9,,Carlsbad,CA,,US,biopharmguy_cmos,https://exonbio.com/,,,,,,,,biopharmguy_cmos_standardized.csv
GILERO,,5ca064279a4870ee,,Carlsbad,CA,,US,biopharmguy_cmos,https://www.gilero.com/,,,,,,,,biopharmguy_cmos_standardized.csv
