entity_id,source_file,source_record_id,company_name,address_street,address_city,address_state
ENT-000001,biopharmguy_cmos_standardized.csv,5cd6fca71a088e8c,TECOMET,,Arab,AL
ENT-000002,biopharmguy_cmos_standardized.csv,28ff08029460d20d,OXFORD PHARMACEUTICALS,,Birmingham,AL
ENT-000002,fda_drug_registration_standardized.csv,3012257735,"Oxford Pharmaceuticals, LLC",301 Leaf Lake Parkway,Birmingham,AL
ENT-000003,biopharmguy_cmos_standardized.csv,b9012947e075d48d,TRIRX PHARMACEUTICAL SERVICES,,Huntsville,AL
ENT-000003,biopharmguy_cros_standardized.csv,b9012947e075d48d,TRIRX PHARMACEUTICAL SERVICES,,Huntsville,AL
ENT-000004,biopharmguy_cmos_standardized.csv,02d5ee7e6e98475b,MACHINE SOLUTIONS,,Flagstaff,AZ
ENT-000005,biopharmguy_cmos_standardized.csv,65668791f70f5570,CONFLUENT MEDICAL TECHNOLOGIES,,Scottsdale,AZ
ENT-000006,biopharmguy_cmos_standardized.csv,b382a1f09d4d53a0,APTYX,,Tempe,AZ
ENT-000007,biopharmguy_cmos_standardized.csv,f24ee451bccf18e4,THERAGENT,,Arcadia,CA
ENT-000008,biopharmguy_cmos_standardized.csv,96ffbcfc9c84de67,NORAC PHARMA,,Azusa,CA
ENT-000009,biopharmguy_cmos_standardized.csv,1eb398b23ec9909f,FREUDENBERG MEDICAL,,Baldwin Park,CA
ENT-000010,biopharmguy_cmos_standardized.csv,797961ec8a72f16d,BAYER BIOPARTNERING SOLUTIONS,,Berkeley,CA
ENT-000011,biopharmguy_cmos_standardized.csv,7aee7e58204c4582,LIFE SCIENCE OUTSOURCING,,Brea,CA
ENT-000011,fda_drug_registration_standardized.csv,3001236549,"Life Science Outsourcing, Inc.",830 Challenger Street,Brea,CA
ENT-000012,biopharmguy_cmos_standardized.csv,c830e80a265c056a,LIST BIOLOGICAL LABORATORIES,,Campbell,CA
ENT-000013,biopharmguy_cmos_standardized.csv,e9fd0f44f82ff574,ARGONAUT MANUFACTURING SERVICES,,Carlsbad,CA
ENT-000013,fda_drug_registration_standardized.csv,3013508066,"Argonaut Manufacturing Services, Inc.",2841 Loker Avenue East,Carlsbad,CA
ENT-000013,fda_drug_registration_standardized.csv,3013508066,Argonaut Manufacturing Services,"1900 Aston Ave, Suite 100",Carlsbad,CA
ENT-000014,biopharmguy_cmos_standardized.csv,a14c72213bcc821a,CARLSBAD TECHNOLOGY,,Carlsbad,CA
ENT-000014,fda_drug_registration_standardized.csv,1000135190,"Carlsbad Technology, Inc.",5922 FARNSWORTH CT,Carlsbad,CA
ENT-000014,fda_drug_registration_standardized.csv,1000135190,"Carlsbad Technology, Inc.",5923 BALFOUR CT,Carlsbad,CA
ENT-000015,biopharmguy_cmos_standardized.csv,7650daa288131def,DCN DX,,Carlsbad,CA
ENT-000015,biopharmguy_cros_standardized.csv,7650daa288131def,DCN DX,,Carlsbad,CA
ENT-000016,biopharmguy_cmos_standardized.csv,936316d26e926da9,EXONBIO,,Carlsbad,CA
ENT-000016,biopharmguy_cros_standardized.csv,936316d26e926da9,EXONBIO,,Carlsbad,CA
ENT-000017,biopharmguy_cmos_standardized.csv,5ca064279a4870ee,GILERO,,Carlsbad,CA
ENT-000017,biopharmguy_cros_standardized.csv,5ca064279a4870ee,GILERO,,Carlsbad,CA
ENT-000018,biopharmguy_cmos_standardized.csv,e6ee5f4013228267,MILLIPORESIGMA,,Carlsbad,CA
ENT-000019,biopharmguy_cmos_standardized.csv,dab8ceec75bb1d65,TRUE DIAGNOSTICS,,Carlsbad,CA
ENT-000020,biopharmguy_cmos_standardized.csv,88a29b8d58a8e67a,FREUDENBERG MEDICAL,,Carpinteria,CA
ENT-000021,biopharmguy_cmos_standardized.csv,ceec6f63f80651df,SOHM,,Chino Hills,CA
ENT-000022,biopharmguy_cmos_standardized.csv,14b6521f4479675b,RESONETICS,,Davis,CA
ENT-000023,biopharmguy_cmos_standardized.csv,ef4eb844231645e6,NUTCRACKER THERAPEUTICS,,Emeryville,CA
ENT-000024,biopharmguy_cmos_standardized.csv,f118ef3f7fb3bb0b,APPLIED VIROMICS,,Fremont,CA
ENT-000025,biopharmguy_cmos_standardized.csv,60cae1baed608e2f,BIONOVA SCIENTIFIC,,Fremont,CA
ENT-000025,biopharmguy_cros_standardized.csv,60cae1baed608e2f,BIONOVA SCIENTIFIC,,Fremont,CA
ENT-000026,biopharmguy_cmos_standardized.csv,7b3249d8de72b42f,BOEHRINGER INGELHEIM,,Fremont,CA
ENT-000026,biopharmguy_therapeutics_standardized.csv,7b3249d8de72b42f,BOEHRINGER INGELHEIM,,Fremont,CA
ENT-000027,biopharmguy_cmos_standardized.csv,1855fc67f2daff1f,CONFLUENT MEDICAL TECHNOLOGIES,,Fremont,CA
