entity_id,num_source_files,source_files,company_name,cik,source_record_id,address_street,address_city,address_state,address_zip,address_country,source_name,website_url,contact_name,contact_email,phone,notes,company_status,stage,one_liner,is_gmp_facility,address_street_status,contact_name_status,contact_email_status,is_gmp_facility_status
ENT-000001,1,biopharmguy_cmos_standardized.csv,TECOMET,,5cd6fca71a088e8c,"150 Presidential Way, Suite 200",Arab,AL,,US,biopharmguy_cmos,https://www.tecomet.com/,,sales@tecomet.com,,,,,,explicit_gmp,extracted,"checked_pages_not_found (pages_checked=8,fetched_ok=7,total_text_chars=64276)",extracted,found_via_fallback_search
ENT-000002,2,biopharmguy_cmos_standardized.csv; fda_drug_registration_standardized.csv,OXFORD PHARMACEUTICALS,,28ff08029460d20d,301 Leaf Lake Parkway,Birmingham,AL,35211,US,biopharmguy_cmos,https://oxford-rx.com/,John Schultz,jschultz@oxford-rx.com,,,,,,explicit_gmp,,,,found_via_fallback_search
ENT-000003,2,biopharmguy_cmos_standardized.csv; biopharmguy_cros_standardized.csv,TRIRX PHARMACEUTICAL SERVICES,,b9012947e075d48d,"120 Vintage Drive, Huntsville, AL 35811",Huntsville,AL,,US,biopharmguy_cmos,https://www.trirx.com/,,TriRxHuntsvilleAR@trirx.com,,,,,,explicit_gmp,found_via_fallback_search,"no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)",found_via_fallback_search,found_via_fallback_search
ENT-000004,1,biopharmguy_cmos_standardized.csv,MACHINE SOLUTIONS,,02d5ee7e6e98475b,2951 W. Shamrell Blvd. Suite 107,Flagstaff,AZ,,US,biopharmguy_cmos,https://www.machinesolutions.com/,,info@machinesolutions.com,,,,,,no_explicit_gmp,extracted,"checked_pages_not_found (pages_checked=8,fetched_ok=8,total_text_chars=74802)",extracted,extracted
ENT-000005,1,biopharmguy_cmos_standardized.csv,CONFLUENT MEDICAL TECHNOLOGIES,,65668791f70f5570,"6263 N Scottsdale Road, Suite 224",Scottsdale,AZ,,US,biopharmguy_cmos,https://confluentmedical.com/,"Dean Schauer Director, Chief Executive Officer & President",sales@confluentmedical.com,,,,,,explicit_gmp,extracted,extracted,found_via_fallback_search,found_via_fallback_search
ENT-000006,1,biopharmguy_cmos_standardized.csv,APTYX,,b382a1f09d4d53a0,"740 W. Knox Rd, Tempe, AZ 85284",Tempe,AZ,,US,biopharmguy_cmos,https://aptyx.com/,,info@aptyx.com,,,,,,,found_via_fallback_search,"no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)",found_via_fallback_search,"no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)"
ENT-000007,1,biopharmguy_cmos_standardized.csv,THERAGENT,,f24ee451bccf18e4,11750 Goldring Road,Arcadia,CA,,US,biopharmguy_cmos,https://theragent.com/,"Yun Yen , M.D., Ph.D., F.A.C.P. President and Chief Executive Officer",[email protected],,,,,,explicit_gmp,extracted,extracted,extracted,extracted
ENT-000008,1,biopharmguy_cmos_standardized.csv,NORAC PHARMA,,96ffbcfc9c84de67,405 South Motor Avenue,Azusa,CA,,US,biopharmguy_cmos,https://noracpharma.com/,,info@noracpharma.com,,,,,,explicit_gmp,extracted,"checked_pages_not_found (pages_checked=8,fetched_ok=8,total_text_chars=14381)",extracted,extracted
ENT-000009,1,biopharmguy_cmos_standardized.csv,FREUDENBERG MEDICAL,,1eb398b23ec9909f,"5050 Rivergrade Road, Baldwin Park, CA 91706",Baldwin Park,CA,,US,biopharmguy_cmos,https://www.freudenbergmedical.com/,,info@freudenbergmedical.com,,,,,,explicit_gmp,found_via_fallback_search,"checked_pages_not_found (pages_checked=8,fetched_ok=8,total_text_chars=94554)",found_via_fallback_search,found_via_fallback_search
ENT-000010,1,biopharmguy_cmos_standardized.csv,BAYER BIOPARTNERING SOLUTIONS,,797961ec8a72f16d,,Berkeley,CA,,US,biopharmguy_cmos,https://www.bayer.com/en/us/BioPartneringSolutions,,Bruce.Frazier@bayer.com,,,,,,explicit_gmp,"no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)","no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)",found_via_fallback_search,found_via_fallback_search
