entity_id,source_file,source_record_id,company_name
ENT-000001,01a_fda_biologics_hctp_standardized.csv,3005398579,A2CL Services LLC (dba ACL Laboratories)
ENT-000002,01a_fda_biologics_hctp_standardized.csv,3017393442,AFMC Diamond Lab
ENT-000003,01a_fda_biologics_hctp_standardized.csv,3005056987,AFS PC dba Alabama Fertility Specialists
ENT-000004,01a_fda_biologics_hctp_standardized.csv,3004571445,AHN Center for Reproductive Medicine
ENT-000005,01a_fda_biologics_hctp_standardized.csv,3027446107,ALLcare Fertility Center
ENT-000006,01a_fda_biologics_hctp_standardized.csv,3027446888,ARK Repository LLC
ENT-000007,01a_fda_biologics_hctp_standardized.csv,3004628030,"ART Reproductive Center, LLC"
ENT-000008,01a_fda_biologics_hctp_standardized.csv,1070230,"AU Medical Center, Inc."
ENT-000009,01a_fda_biologics_hctp_standardized.csv,3007791622,"Acacio Fertility Center, Inc."
ENT-000010,01a_fda_biologics_hctp_standardized.csv,3016690639,Access2Bone LLC
ENT-000011,01a_fda_biologics_hctp_standardized.csv,3044600559,ActCell Labs
ENT-000012,01a_fda_biologics_hctp_standardized.csv,3031534076,Adore Fertility LLC
ENT-000013,01a_fda_biologics_hctp_standardized.csv,3004011569,"Adult HPC Transplant Program, North Shore University Hospital, Northwell Health"
ENT-000014,01a_fda_biologics_hctp_standardized.csv,3044734865,Advanced Care for Women
ENT-000015,01a_fda_biologics_hctp_standardized.csv,3005106396,"Advanced Fertility Associates Medical Group, Inc."
ENT-000016,01a_fda_biologics_hctp_standardized.csv,1000451317,"Advanced Fertility Care, LLC, Arizona Advanced Reproductive Laboratory, LLC (DBA Pinnacle Fertilty)"
ENT-000017,01a_fda_biologics_hctp_standardized.csv,3004518396,Advanced Fertility Center of Chicago
ENT-000018,01a_fda_biologics_hctp_standardized.csv,3036128569,Advanced Fertility Center of Chicago - River North
ENT-000019,01a_fda_biologics_hctp_standardized.csv,3008927677,"Advanced Fertility Group, PC"
ENT-000020,01a_fda_biologics_hctp_standardized.csv,3024834518,Advanced Fertility of Alaska
ENT-000021,01a_fda_biologics_hctp_standardized.csv,3043065973,"Advanced Reproductive Engineering Services,, LLC"
ENT-000022,01a_fda_biologics_hctp_standardized.csv,3009383076,"Advanced Reproductive Health Center, LTD"
ENT-000023,01a_fda_biologics_hctp_standardized.csv,3008791698,"Advanced Reproductive Medicine & Gynecology of Hawaii, DBA: Fertility Institute of Hawaii"
ENT-000024,01a_fda_biologics_hctp_standardized.csv,3010857889,Advanced Reproductive Technologies of Santa Barbara
ENT-000025,01a_fda_biologics_hctp_standardized.csv,3005885076,AdventHealth Medical Group Fertility Shawnee Mission
ENT-000026,01a_fda_biologics_hctp_standardized.csv,1471525,Advocate Lutheran General Hospital
ENT-000027,01a_fda_biologics_hctp_standardized.csv,3017871874,"Akan Biosciences, Inc."
ENT-000027,04a_biopharmguy_therapeutics_standardized.csv,494d0e53c48924e0,AKAN BIOSCIENCES
ENT-000028,01a_fda_biologics_hctp_standardized.csv,3033413967,Akesoe Biologics LLC
ENT-000029,01a_fda_biologics_hctp_standardized.csv,3015364206,Alabama Center for Reproductive Medicine
ENT-000030,01a_fda_biologics_hctp_standardized.csv,3014737417,"Albany Fertility and Gyn. PLLC, Boston IVF The Syracuse Center"
ENT-000031,01a_fda_biologics_hctp_standardized.csv,3003972347,Albany IVF Fertility and GYN DBA Boston IVF The Rochester Center
ENT-000032,01a_fda_biologics_hctp_standardized.csv,3004894521,Albany IVF Fertility and Gynecology PLLC DBA Boston IVF The Albany Center
ENT-000033,01a_fda_biologics_hctp_standardized.csv,3006523527,"Alfred J. Rodriguez, M.D, P.A."
ENT-000034,01a_fda_biologics_hctp_standardized.csv,3029756122,"Aligneage Fertility Laboratory, LLC"
ENT-000035,01a_fda_biologics_hctp_standardized.csv,3020909810,"AllCells, LLC"
ENT-000036,01a_fda_biologics_hctp_standardized.csv,3010226283,"AllCells, a Discovery Life Science company"
