Establishment Name,"City, State/Zip",FEI,Establishment Status
"""ECO center"" LLC","Moscow, / 117186",3013178227.0,Inactive
"""Reproductive Clinic ""LITA"" LLC","Kyiv city, / 02132",3038417781.0,Registered
23 Century Biomedicine Sdn Bhd,"Sri Kembangan, / 43300",3033197836.0,Inactive
42Bio Inc.,"Gainesville, Florida / 32601",,Inactive
A2CL Services LLC (dba ACL Laboratories),"West Allis, Wisconsin / 53227",3005398579.0,Registered
ACE Surgical Supply CO. INC,"Brockton, Massachusetts / 02301",1287163.0,Inactive
ACL Laboratories,"Rosemont, Illinois / 60018",3013261126.0,Inactive
AFMC Diamond Lab,"Diamond Bar, California / 91765",3017393442.0,Registered
AFS PC dba Alabama Fertility Specialists,"Homewood, Alabama / 35209",3005056987.0,Registered
"AGENCIA GALLEGA DE SANGRE, ÓRGANOS Y TEJIDOS","Santiago de Compostela, / 15705",3004731574.0,Registered
AHN Center for Reproductive Medicine,"Pittsburgh, Pennsylvania / 15275",3004571445.0,Registered
"AIVITA Biomedical, Inc.","Irvine, California / 92612",3013221738.0,Inactive
AKRITI OPHTHALMIC PRIVATE LIMITED,"Hyderabad, / 502319",3042228518.0,Registered
ALLOLIFE Biyoteknoloji A.S.,"ANKARA, / 06318",3041691993.0,Registered
ALLcare Fertility Center,"New York, New York / 10017",3027446107.0,Registered
AMERCELLBIO ECUADOR SA,"Guayaquil, /",3015648794.0,Registered
AMNOS Company Ltd. Toyama Factory,"Toyama, / 9390734",3014468411.0,Inactive
"ANDROGEN, S.L.","La Coruña, / 15004",3019653548.0,Registered
ARGC,"LONDON, / W1G 6LP",3020074908.0,Inactive
ARK CRYO LIMITED LIABILITY COMPANY,"LVIV, / 79019",3027448200.0,Registered
ARK Repository LLC,"Taylorsville, Utah / 84119",3027446888.0,Registered
ART Fertility Program of Alabama,"Birmingham, Alabama / 35209",3004518891.0,Inactive
ART Laboratories of Northern California,"San Francisco, California / 94109",3004355591.0,Inactive
"ART Reproductive Center, LLC","Beverly Hills, California / 90210",3004628030.0,Registered
"ARUP Laboratories, Inc.","Salt Lake City, Utah / 84108",3004741920.0,Inactive
ASIAN INTEGRATED CELL LABORATORY LIMITED,"HONG KONG, / ---",3016717407.0,Registered
ATTIKON University Hospital,"Athens, / 12462",3014999422.0,Registered
"AU Medical Center, Inc.","Augusta, Georgia / 30912-3625",1070230.0,Registered
"AVEM Labs, LLC","Las Vegas, Nevada / 89118",3017596057.0,Inactive
AZ Sint-Jan AV - Stamcelbank,"Brugge, / 8000",3004978106.0,Inactive
Abington Reproductive Medicine / Abington Reproductive Diagnostics,"Abington, Pennsylvania / 19001",3005587932.0,Inactive
"Acacio Fertility Center, Inc.","Bakersfield, California / 93301",3007791622.0,Registered
"Acadia OB/GYN Associates, P.A.","Bangor, Maine / 04401",3009248199.0,Inactive
Access2Bone LLC,"Irvine, California / 92697",3016690639.0,Registered
ActCell Labs,"New York, New York / 10027",3044600559.0,Registered
Adaptimmune LLC,"Philadelphia, Pennsylvania / 19112",3013525969.0,Inactive
"AdiCyte, Inc","Tuscon, Arizona / 85724",3009546315.0,Inactive
Adore Fertility LLC,"Mount Pleasant, South Carolina / 29464",3031534076.0,Registered
"Adult HPC Transplant Program, North Shore University Hospital, Northwell Health","Manhasset, New York / 11030",3004011569.0,Registered
Advanced Care for Women,"Green Bay, Wisconsin / 54304",3044734865.0,Registered
"Advanced Fertility & Reproductive Endocrinology Institute, LLC","West Columbia, South Carolina / 29169",3005070791.0,Inactive
"Advanced Fertility Associates Medical Group, Inc.","Santa Rosa, California / 95405",3005106396.0,Registered
"Advanced Fertility Care, LLC, Arizona Advanced Reproductive Laboratory, LLC (DBA Pinnacle Fertilty)","Tucson, Arizona / 85712",1000451317.0,Registered
Advanced Fertility Center of Chicago,"Gurnee, Illinois / 60031",3004518396.0,Registered
Advanced Fertility Center of Chicago - River North,"CHICAGO, Illinois / 60654",3036128569.0,Registered
"Advanced Fertility Group, PC","Indianapolis, Indiana / 46237",3008927677.0,Registered
Advanced Fertility Services,"New York, New York / 10128",3004612066.0,Inactive
Advanced Fertility and Reproductive Medicine (Formerly RHPN Women's Clinic and IVF-Fertility),"West Reading, Pennsylvania / 19611",3003939705.0,Inactive
Advanced Fertility of Alaska,"Anchorage, Alaska / 99507",3024834518.0,Registered
"Advanced Institute OTC, LLC","Naperville, Illinois / 60540",3011042611.0,Inactive
"Advanced Institute for Fertility, SC","Chicago, Illinois / 60659",3009429180.0,Inactive
Advanced Institute of Fertility & Great Lakes Cryobank,"Milwaukee, Wisconsin / 53215",3004823499.0,Inactive
Advanced Personalized Diagnostics LLC,"Derwood, Maryland / 20855",3010155588.0,Inactive
"Advanced Reproduction Institute, LLC","Evansville, Indiana / 47714",3004532942.0,Inactive
"Advanced Reproductive Concepts, PLLC","Charlotte, North Carolina / 28207",3003926726.0,Inactive
"Advanced Reproductive Engineering Services,, LLC","Beverly Hills, California / 90210",3043065973.0,Registered
"Advanced Reproductive Health Center, LTD","Orland Park, Illinois / 60467",3009383076.0,Registered
"Advanced Reproductive Health Centers, LTD dba Chicago-IVF","Lincolnwood, Illinois / 60712",3005138430.0,Inactive
Advanced Reproductive Laboratory,"Arlington, Texas / 76014",3011291619.0,Inactive
"Advanced Reproductive Medicine & Gynecology of Hawaii, DBA: Fertility Institute of Hawaii","Honolulu, Hawaii / 96814",3008791698.0,Registered
"Advanced Reproductive Medicine & Gynecology of Hawaii, Inc","Kailua, Hawaii / 96734",3008304500.0,Inactive
