Establishment Name,"City, State/Zip",FEI,Establishment Status
"Advanced BioScience Laboratories, Inc","Kensington, Maryland / 20895-1078",1000305483.0,INACTIVE
Adventist Lab Partners Blood Center,"Bolingbrook, Illinois / 60440",3004628686.0,INACTIVE
Alton Ochsner Medical Foundation East Baton Rouge Donor Center,"Baton Rouge, Louisiana / 70816",3001514235.0,INACTIVE
Altru Health System Altru Health System D.B.A. Dak Minn Blood Bank,"Grand Forks, North Dakota / 58201",3009905846.0,ACTIVE
American Fork Hospital,"American Fork, Utah / 84003",1771295.0,INACTIVE
American Red Cross Blood Services,"Richmond, Virginia / 23222-1416",3009558892.0,INACTIVE
American Red Cross Blood Services - Southern California Region,"Escondido, California / 92025",3001722748.0,INACTIVE
American Red Cross Blood Services Greater Chesapeake & Potomac Region,"Washington, District of Columbia / 20037",1000136171.0,INACTIVE
American Red Cross Blood Services Greater Ozarks Region,"Springdale, Arkansas / 72764",2377751.0,INACTIVE
American Red Cross Blood Services New England Region,"Springfield, Massachusetts / 01199",1000120398.0,INACTIVE
American Red Cross Blood Services Northern OH Reg-St. Elizabeths's Hosp,"Youngstown, Ohio / 44501",1525429.0,INACTIVE
American Red Cross Blood Services Northern OH Rgn.-Youngstown Hos. Assoc.,"Youngstown, Ohio / 44501",1000069881.0,INACTIVE
American Red Cross Blood Services Southern California Region,"Irvine, California / 92612",3003538428.0,INACTIVE
American Red Cross Blood Services Southwest Region,"Abilene, Texas / 79601",1641927.0,INACTIVE
American Red Cross Blood Services St. Paul Region,"St. Paul, Minnesota / 55107",1000116307.0,INACTIVE
American Red Cross Blood Services St. Paul Region-Alexandria Location,"Alexandria, Minnesota / 56308",3001509711.0,INACTIVE
American Red Cross Blood Services St. Paul Region-Lake Rgn. Hospital,"Fergus Falls, Minnesota / 56537",2177755.0,INACTIVE
American Red Cross Blood Services; Badger Region,"LaCrosse, Wisconsin / 54601",1000520233.0,INACTIVE
Department of Defense - Air Force Armed Services Whole Blood Processing Laboratory-West,"Travis AFB, California / 94535",1000307132.0,ACTIVE
Baptist Hospital Donor Center,"Winner, South Dakota / 57580",1770175.0,INACTIVE
"Biological Specialty Company LLC dba BioIVT, LLC","Allentown, Pennsylvania / 18102",3009057813.0,INACTIVE
"Biological Specialty Company LLC dba BioIVT, LLC","Colmar, Pennsylvania / 18915",2577632.0,ACTIVE
"Biological Specialty Company LLC dba BioIVT, LLC","Reading, Pennsylvania / 19602",2523698.0,INACTIVE
"Biomat USA, Inc.","Boca Raton, Florida / 33431",3003537708.0,ACTIVE
"Blood Systems, Inc.","Muscle Shoals, Alabama / 35661",1000113057.0,INACTIVE
"Blood Systems, Inc.","Hot Springs, Arkansas / 71913",2376384.0,INACTIVE
"Blood Systems, Inc.","Rogers, Arkansas / 72756",2377727.0,INACTIVE
"Blood Systems, Inc.","Thousand Oaks, California / 91360",3001502602.0,INACTIVE
"Blood Systems, Inc.","Norridge, Illinois / 60656",3001472753.0,INACTIVE
"Blood Systems, Inc.","Alsip, Illinois / 60658",3001473529.0,INACTIVE
"Blood Systems, Inc. Jackson Center","Odessa, Texas / 79761",1000118718.0,INACTIVE
Bonfils Blood Center Denver at Health Sciences Center,"Denver, Colorado / 80262-3706",1775535.0,INACTIVE
"Canventa Life Sciences, Inc.","Emeryville, California / 94608",3015820087.0,ACTIVE
"Centeon Bio-Services, Inc.","Atlanta, Georgia / 30309",3001461059.0,INACTIVE
