Establishment Name,"City, State/Zip",FEI,Establishment Status
7th Street Plasma Center,"Pine Bluff, Arkansas / 71603",2377771.0,INACTIVE
"ABO Holdings, Inc. ABO Holdings Inc","Orem, Utah / 84057",3026741153.0,ACTIVE
"ABO Holdings, Inc. ABO Holdings, Inc","San Diego, California / 92154",3027619751.0,ACTIVE
"ABO Holdings, Inc.","Calexico, California / 92231",3030677734.0,ACTIVE
"ABO Holdings, Inc.","Cherry Hill, New Jersey / 08002",3009416474.0,ACTIVE
"ABO Holdings, Inc.","Glassboro, New Jersey / 08028",3013156927.0,ACTIVE
"ABO Holdings, Inc.","West Valley City, Utah / 84119",3030678902.0,ACTIVE
"ABO Holdings, Inc. ABO Holdings,Inc","Laredo, Texas / 78040",3039673658.0,ACTIVE
"ABO Holdings,Inc.","Irvine, California / 92614",,PRE-REGISTERED
ADC Plasma Center,"Grady, Arkansas / 71644",3001486806.0,INACTIVE
ADMA BioCenters Georgia Inc.,"Conyers, Georgia / 30013",3020107047.0,ACTIVE
ADMA BioCenters Georgia Inc.,"Marietta, Georgia / 30066",3014149033.0,ACTIVE
ADMA BioCenters Georgia Inc.,"Dallas, Georgia / 30157",3024296552.0,ACTIVE
ADMA BioCenters Georgia Inc.,"Hammond, Louisiana / 70401",3023212891.0,ACTIVE
ADMA BioCenters Georgia Inc.,"Greensboro, North Carolina / 27407",3022199418.0,ACTIVE
ADMA BioCenters Georgia Inc.,"Goose Creek, South Carolina / 29445",3018988280.0,ACTIVE
ADMA BioCenters Georgia Inc.,"Myrtle Beach, South Carolina / 29579",3021121826.0,ACTIVE
"Alpha Plasma Clinic, Inc.","Richmond, California / 94804",3001526851.0,INACTIVE
Alpha Therapeutic Corporation,"Mobile, Alabama / 36602",1051555.0,INACTIVE
Alpha Therapeutic Corporation,"Casa Grande, Arizona / 85222",3001502614.0,INACTIVE
Alpha Therapeutic Corporation,"Long Beach, California / 90813",2077842.0,INACTIVE
Alpha Therapeutic Corporation,"Long Beach, California / 90815",3001502612.0,INACTIVE
Alpha Therapeutic Corporation,"National City, California / 91950",2077731.0,INACTIVE
Alpha Therapeutic Corporation,"San Diego, California / 92115",2077742.0,INACTIVE
Alpha Therapeutic Corporation,"Calexico, California / 92231",2077822.0,INACTIVE
Alpha Therapeutic Corporation,"Fontana, California / 92335",2077782.0,INACTIVE
Alpha Therapeutic Corporation,"San Bernardino, California / 92401",2075874.0,INACTIVE
Alpha Therapeutic Corporation,"Riverside, California / 92504",2077820.0,INACTIVE
