lab_name,category_focus,city,state,street_address,contact_name,contact_email,phone_number,website_url,source_registry
ALPHA BETA THERAPEUTICS,Biologics,-,,,,,,https://alphabetatx.com/,BioPharmGuy
EARENDIL LABS,Biologics,-,,,,,,https://www.earendil.bio/,BioPharmGuy
ENLILA,Biologics,-,,,,,,https://enlila.com/,BioPharmGuy
ENTERALIA BIOSCIENCE,Biologics,-,,,,,,https://enteralia-bioscience.com/,BioPharmGuy
GLYCOMANTRA,Biologics,-,,,,,,https://www.glycomantra.com/,BioPharmGuy
HBM ALPHA THERAPEUTICS,Biologics,-,,,,,,https://www.hbmalphatx.com/,BioPharmGuy
MANAOLANA ONCOLOGY,Biologics,-,,,,,,https://www.manaolanaoncology.com/,BioPharmGuy
ONCOSTING,Biologics,-,,,,,,https://www.oncosting.com/,BioPharmGuy
PHIALOGICS,Biologics,-,,,,,,https://www.phialogics.net/,BioPharmGuy
VASARYA THERAPEUTICS,Biologics,-,,,,,,https://www.vasarya.com/,BioPharmGuy
NOVABRIDGE BIOSCIENCES,Biologics,- Virtual,,,,,,https://www.novabridge.com/,BioPharmGuy
ONCOLYTICS BIOTECH,Biologics,Ab - Calgary,,,,,,https://oncolyticsbiotech.com/,BioPharmGuy
QUEST PHARMATECH,Biologics,Ab - Edmonton,,,,,,http://www.questpharmatech.com,BioPharmGuy
NUTECH SPINE,Biologics,Al - Birmingham,,,,,,https://nutechspine.com/,BioPharmGuy
AVATAR MEDTECH,Biologics,Argentina - Buenos Aires,,,,,,https://www.avatarmedtech.co/,BioPharmGuy
BIOMARIN PHARMACEUTICAL,Biologics,Argentina - Buenos Aires,,,,,,https://www.biomarin.com/,BioPharmGuy
INMUNOVA,Biologics,Argentina - Buenos Aires,,,,,,https://inmunova.com/en/,BioPharmGuy
VAXINE,Biologics,Australia - Bedford Park,,,,,,https://www.vaxine.net,BioPharmGuy
VIVAZOME,Biologics,Australia - Belmont,,,,,,https://vivazome.com/,BioPharmGuy
IMMURON,Biologics,Australia - Blackburn North,,,,,,https://www.immuron.com.au,BioPharmGuy
MYRIO THERAPEUTICS,Biologics,Australia - Blackburn North,,,,,,https://www.myriotx.com/,BioPharmGuy
TELIX PHARMACEUTICALS,Biologics,Australia - Brisbane,,,,,,https://telixpharma.com/,BioPharmGuy
IMUNEXUS THERAPEUTICS,Biologics,Australia - Bundoora,,,,,,https://imunexus.com/,BioPharmGuy
ADALTA,Biologics,Australia - Camberwell,,,,,,https://adalta.com.au/,BioPharmGuy
SDIP INNOVATIONS,Biologics,Australia - Hornsby,,,,,,https://www.sdipinnovations.com/,BioPharmGuy
TEVA,Biologics,Australia - Macquarie Park,,,,,,https://www.tevapharm.com/,BioPharmGuy
DENTERIC,Biologics,Australia - Malbourne,,,,,,https://www.denteric.com/,BioPharmGuy
ABBVIE,Biologics,Australia - Mascot,,,,,,https://www.abbvie.com/,BioPharmGuy
