lab_name,category_focus,city,state,street_address,contact_name,contact_email,phone_number,website_url,source_registry
KURE CELLS,Contract Manufacturing,-,,,,,,https://kurecells.bio/,BioPharmGuy
NORTHERN RNA,Contract Manufacturing,Ab - Calgary,,,,,,https://northernrna.com/,BioPharmGuy
PBG BIOPHARMA,Contract Manufacturing,Ab - Leduc,,,,,,https://www.pbgbiopharma.com/,BioPharmGuy
ORCHID ORTHOPEDIC SOLUTIONS,Contract Manufacturing,Al - Arab,,,,,,https://www.orchid-ortho.com/,BioPharmGuy
OXFORD PHARMACEUTICALS,Contract Manufacturing,Al - Birmingham,,,,,,https://oxford-rx.com/,BioPharmGuy
TRIRX PHARMACEUTICAL SERVICES,Contract Manufacturing,Al - Huntsville,,,,,,https://www.trirx.com/,BioPharmGuy
AMEGA BIOTECH,Contract Manufacturing,Argentina - Buenos Aires,,,,,,https://amegabiotech.com/,BioPharmGuy
AMEGA BIOTECH,Contract Manufacturing,Argentina - Santa Fe,,,,,,https://amegabiotech.com/,BioPharmGuy
IDT AUSTRALIA,Contract Manufacturing,Australia - Boronia,,,,,,https://idtaus.com.au/,BioPharmGuy
SYPHARMA,Contract Manufacturing,Australia - Dandenong,,,,,,https://www.sypharma.com.au/,BioPharmGuy
CBE PURE SOLUTIONS,Contract Manufacturing,Australia - Ferntree Gully,,,,,,https://cbepuresolutions.com/,BioPharmGuy
HYDRIX,Contract Manufacturing,Australia - Melbourne,,,,,,https://www.hydrix.com/,BioPharmGuy
PCI PHARMA SERVICES,Contract Manufacturing,Australia - Moorabbin Airport,,,,,,https://pci.com/,BioPharmGuy
FENIX INNOVATION GROUP,Contract Manufacturing,Australia - Mount Waverley,,,,,,https://www.fenixinnovationgroup.com/,BioPharmGuy
VESTECH,Contract Manufacturing,Australia - Sydney,,,,,,https://www.vestech.com.au/,BioPharmGuy
BIOCINA,Contract Manufacturing,Australia - Thebarton,,,,,,https://biocina.com/,BioPharmGuy
FRESENIUS KABI,Contract Manufacturing,Austria - Graz,,,,,,https://www.fresenius-kabi.com/,BioPharmGuy
POLYMUN SCIENTIFIC,Contract Manufacturing,Austria - Klosterneuburg,,,,,,http://www.polymun.com/,BioPharmGuy
BIOMAY,Contract Manufacturing,Austria - Vienna,,,,,,https://www.biomay.com/,BioPharmGuy
MACHINE SOLUTIONS,Contract Manufacturing,Az - Flagstaff,,,,,,https://www.machinesolutions.com/,BioPharmGuy
CONFLUENT MEDICAL TECHNOLOGIES,Contract Manufacturing,Az - Scottsdale,,,,,,https://confluentmedical.com/,BioPharmGuy
UBRIGENE,Contract Manufacturing,Bc - Richmond,,,,,,https://www.ubrigene.com/,BioPharmGuy
VIVA PHARMACEUTICAL,Contract Manufacturing,Bc - Richmond,,,,,,https://www.vivapharm.com/,BioPharmGuy
RESONETICS,Contract Manufacturing,Bc - Surrey,,,,,,https://resonetics.com/,BioPharmGuy
STARFISH MEDICAL,Contract Manufacturing,Bc - Victoria,,,,,,https://starfishmedical.com/,BioPharmGuy
CENEXI,Contract Manufacturing,Belgium - Braine-L’Alleud,,,,,,https://www.cenexi.com/en/,BioPharmGuy
SHARP,Contract Manufacturing,Belgium - Hamont-Achel,,,,,,https://www.sharpservices.com/,BioPharmGuy
EXOTHERA,Contract Manufacturing,Belgium - Jumet,,,,,,https://exothera.world/,BioPharmGuy
MINAKEM,Contract Manufacturing,Belgium - Mont-Saint-Guibert,,,,,,https://minakem.com/,BioPharmGuy
ETHERNA IMMUNOTHERAPIES,Contract Manufacturing,Belgium - Niel,,,,,,https://www.etherna.be/,BioPharmGuy
EUROGENTEC,Contract Manufacturing,Belgium - Seraing,,,,,,https://www.eurogentec.com/en/,BioPharmGuy
UNID MANUFACTURING,Contract Manufacturing,Belgium - Seraing,,,,,,https://www.unid-manufacturing.com/,BioPharmGuy
LONZA,Contract Manufacturing,Belgium - Verviers,,,,,,https://www.lonza.com/,BioPharmGuy
AJINOMOTO BIO-PHARMA SERVICES,Contract Manufacturing,Belgium - Wetteren,,,,,,https://www.ajibio-pharma.com/,BioPharmGuy
FRESENIUS KABI,Contract Manufacturing,Brazil - Anápolis,,,,,,https://www.fresenius-kabi.com/,BioPharmGuy
FRESENIUS KABI,Contract Manufacturing,Brazil - Aquiraz,,,,,,https://www.fresenius-kabi.com/,BioPharmGuy
UNITHER PHARMACEUTICALS,Contract Manufacturing,Brazil - Barretos,,,,,,https://www.unither-pharma.com/,BioPharmGuy
UNITHER PHARMACEUTICALS,Contract Manufacturing,Brazil - São Paulo,,,,,,https://www.unither-pharma.com/,BioPharmGuy
CRISM THERAPEUTICS,Contract Manufacturing,Bvi - Tortola,,,,,,https://www.crismtherapeutics.com/,BioPharmGuy
RESILIENCE,Contract Manufacturing,Ca - Alameda,,,,,,https://resilience.com/,BioPharmGuy
THERAGENT,Contract Manufacturing,Ca - Arcadia,,,,,,https://theragent.com/,BioPharmGuy
NORAC PHARMA,Contract Manufacturing,Ca - Azusa,,,,,,https://noracpharma.com/,BioPharmGuy
FREUDENBERG MEDICAL,Contract Manufacturing,Ca - Baldwin Park,,,,,,https://www.freudenbergmedical.com/,BioPharmGuy
BAYER BIOPARTNERING SOLUTIONS,Contract Manufacturing,Ca - Berkeley,,,,,,https://www.bayer.com/en/us/BioPartneringSolutions,BioPharmGuy
LIFE SCIENCE OUTSOURCING,Contract Manufacturing,Ca - Brea,,,,,,https://lso-inc.com/,BioPharmGuy
LIST BIOLOGICAL LABORATORIES,Contract Manufacturing,Ca - Campbell,,,,,,https://listlabs.com/,BioPharmGuy
