ACCESSIONNUMBER,ENTITYNAME,CIK,STREET1,STREET2,CITY,STATEORCOUNTRY,ZIPCODE,TOTALAMOUNTSOLD,TOTALOFFERINGAMOUNT,FILING_DATE,source_quarter
0001558525-23-000001,"Serina Therapeutics, Inc.",0001558525,601 GENOME WAY,SUITE 2001,HUNTSVILLE,AL,35806,10000000,10000000,30-MAR-2023,2023Q1
0001062993-23-007888,IntelGenx Technologies Corp.,0001098880,6420 ABRAMS,,VILLE SAINT LAURENT,A8,H4S 1Y2,763000,2000000,28-MAR-2023,2023Q1
0001670639-23-000001,"RENOVION, INC.",0001670639,900 MLK JR. BLVD,SUITE A,CHAPEL HILL,NC,27514,15017305,15048489,28-MAR-2023,2023Q1
0000897069-23-000189,"ThermoGenesis Holdings, Inc.",0000811212,2711 CITRUS ROAD,,RANCHO CORDOVA,CA,95742,3000001,3000001,28-MAR-2023,2023Q1
0001439430-23-000001,CUREMARK LLC,0001439430,800 WESTCHESTER AVENUE,,RYE BROOK,NY,10573,1295000,15000000,27-MAR-2023,2023Q1
0001958190-23-000001,Myosin Therapeutics Inc.,0001958190,"130 SCRIPPS WAY, 3B3",,JUPITER,FL,33458,2999986,2999986,24-MAR-2023,2023Q1
0001014100-23-000020,"NEXGEN FORENSIC SCIENCES, INC.",0001757348,10241 BRADLEY LANE,,COLUMBIA,MD,21044,450319,750000,24-MAR-2023,2023Q1
0001104659-23-036444,Santiste Medical Inc.,0001830849,307 WENDOVER DRIVE,,PRINCETON,NJ,08549,89000,Indefinite,24-MAR-2023,2023Q1
0001802806-23-000006,Orchard Therapeutics plc,0001748907,245 HAMMERSMITH ROAD,,LONDON,X0,W6 8PW,34000140,Indefinite,23-MAR-2023,2023Q1
0001758846-23-000001,Empirico Inc.,0001758846,"4660 LA JOLLA VILLAGE DRIVE, SUITE 100",,SAN DIEGO,CA,92122,45222197,55222199,23-MAR-2023,2023Q1
0001757728-23-000001,"C16 Biosciences, Inc.",0001757728,"619 W 54th Street, 7th Floor",,New York,NY,10019,4984415,10244013,22-MAR-2023,2023Q1
0001722760-23-000001,"Phase Genomics, Inc.",0001722760,1617 8th Ave. North,,SEATTLE,WA,98109,4754364,6579358,21-MAR-2023,2023Q1
0001969987-23-000002,"Rebase Biotech, Inc",0001969987,1936 CHINOOK DR,,DULUTH,MN,55811,400000,1000000,21-MAR-2023,2023Q1
0001745734-23-000001,"Serotiny, Inc.",0001745734,329 Oyster Point Boulevard,3rd Floor South,SAN FRANCISCO,CA,94080,4000000,4500000,20-MAR-2023,2023Q1
0001961891-23-000001,"Mimio Health, Inc",0001961891,95 3RD STREET,,SAN FRANCISCO,CA,94103,2500000,2500000,20-MAR-2023,2023Q1
0001096906-23-000564,"Abilita Bio, Inc.",0001960998,6888 NANCY RIDGE DR,,SAN DIEGO,CA,92121,7500000,7500000,17-MAR-2023,2023Q1
0001567619-23-005217,"AION Healthspan, Inc.",0001969476,550 BAY POINT ROAD,,MIAMI,FL,33137,2912827,6931673,17-MAR-2023,2023Q1
0001836597-23-000002,Early Detection Inc.,0001836597,732 THIMBLE SHOALS,STE 302A #1051,NEWPORT NEWS,VA,23606,25000,2000000,17-MAR-2023,2023Q1
0001961082-23-000002,Shennon Biotechnologies Inc.,0001961082,953 INDIANA STREET,,SAN FRANCISCO,CA,94107,7299925,7299925,16-MAR-2023,2023Q1
0001962473-23-000001,Presa Solutions Inc,0001962473,511 E JOHN CARPENTER FWY,SUITE 500,LAS COLINAS,TX,75062,110000,Indefinite,14-MAR-2023,2023Q1
0001567619-23-004949,"LEAP THERAPEUTICS, INC.",0001509745,47 THORNDIKE STREET,SUITE B1-1,CAMBRIDGE,MA,02142,77219193,77219193,13-MAR-2023,2023Q1
0001445815-23-000006,"BIOXYTRAN, INC",0001445815,"C/O BIOXYTRAN, INC.","75 2ND AVE, SUITE 605 STE 605",NEEDHAM,MA,02494,130000,6000000,13-MAR-2023,2023Q1
0001099910-23-000045,Artin Bioscience Inc.,0001968329,700 WEST 11TH STREET,,DENVER,CO,80204,482500,482500,13-MAR-2023,2023Q1
0001752445-23-000001,"SEngine Precision Medicine, Inc.",0001752445,401 TERRY AVE N.,,SEATTLE,WA,98109,600000,3577538,10-MAR-2023,2023Q1
0001014100-23-000017,"AGI Scientific, LLC",0001967574,701 E. PRATT STREET,SUITE 4016,BALTIMORE,MD,21202,10000000,10000000,10-MAR-2023,2023Q1
0001678518-23-000001,"Lenz Therapeutics, Inc.",0001678518,"445 MARINE VIEW AVE., SUITE #320",,DEL MAR,CA,92014,83499961,83499961,10-MAR-2023,2023Q1
0001744231-23-000001,"DIVERSE BIOTECH, INC.",0001744231,1951 NW 7th Ave,Suite 600,MIAMI,FL,33136,0,950000,10-MAR-2023,2023Q1
0001876967-23-000002,"Unravel Biosciences, Inc.",0001876967,100 WILLIAM T. MORRISSEY BLVD.,VENTURE DEVELOPMENT CENTER,BOSTON,MA,02125,500000,2000000,09-MAR-2023,2023Q1
0001966964-23-000001,"SNC Therapeutics, Inc.",0001966964,1801 Maple Avenue,"Querrey InQbation Lab, Suite 1400",Evanston,IL,60201,249999,4999999,08-MAR-2023,2023Q1
0001968644-23-000001,"Duet Therapeutics, Inc.",0001968644,23 Southern Hills Dr.,,Skillman,NJ,08558,200000,1000000,08-MAR-2023,2023Q1
0001674834-23-000001,"Notable Labs, Inc.",0001674834,320 HATCH DRIVE,,FOSTER CITY,CA,94404,10336259,10336259,08-MAR-2023,2023Q1
0001968687-23-000001,"Amplfied Sciences, Inc.",0001968687,1281 WIN HENTSCHEL BOULEVARD,SUITE 2132,WEST LAFAYETTE,IN,47906,1500006,3500000,08-MAR-2023,2023Q1
0001821392-23-000001,"Enveda Therapeutics, Inc.",0001821392,1880 S Flatiron Ct. Ste. K,,Boulder,CO,80301,62459761,62459761,07-MAR-2023,2023Q1
0001952064-23-000003,"Oxygen4Life, Inc.",0001952064,30 N GOULD,SUITE 6994,SHERIDAN,WY,82801,5000,1000000,07-MAR-2023,2023Q1
0001967784-23-000001,Ethicann Pharmaceuticals Inc. / DE,0001967784,7710 WOODMONT AVE,SUITE 910,BETHESDA,MD,20814,0,Indefinite,06-MAR-2023,2023Q1
0001833483-23-000001,Photomedics Inc.,0001833483,245 FIRST STREET,17TH FLOOR,CAMBRIDGE,MA,02142,1159500,2319000,03-MAR-2023,2023Q1
0001679363-23-000017,"Morphic Holding, Inc.",0001679363,35 GATEHOUSE DRIVE A2,,WALTHAM,MA,02451,99999755,100000000,01-MAR-2023,2023Q1
0001966494-23-000001,"CARGO Therapeutics, Inc.",0001966494,1900 ALAMEDA DE LAS PULGAS SUITE 350,,SAN MATEO,CA,94403,68832003,200760000,01-MAR-2023,2023Q1
0001712390-23-000001,"Cadence Neuroscience, Inc.",0001712390,2036 223RD PLACE NE,,SAMMAMISH,WA,98074,26029994,26029994,28-FEB-2023,2023Q1
0001515971-23-000017,Causeway Therapeutics Ltd,0001966914,C/O IMAGING CENTRE OF EXCELLENCE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,GLASGOW,X0,G51 4TF,14263627,14263627,28-FEB-2023,2023Q1
0001967374-23-000001,GENLEAP AI INC.,0001967374,1712 PIONEER AVE STE 500,,CHEYENNE,WY,82001,0,100000000,27-FEB-2023,2023Q1
0001567619-23-003847,Codagenix Inc.,0001967165,3 BIOSCIENCE PARK DR.,,FARMINGDALE,NY,11735,25005232,25005232,27-FEB-2023,2023Q1
0001804492-23-000001,"MITOSENSE, INC.",0001804492,18 Main Street Extension,Suite 202,Plymouth,MA,02360,435000,7370000,27-FEB-2023,2023Q1
0001965249-23-000001,X-Sight Inc,0001965249,492B CAMBRIDGE SREET,,CAMBRIDGE,MA,02141,130000,130000,27-FEB-2023,2023Q1
0001104659-23-024550,"Lirum Therapeutics, Inc.",0001965411,590 MADISON AVENUE,21ST FLOOR,NEW YORK,NY,10022,6300000,10000000,23-FEB-2023,2023Q1
0001766205-23-000003,"Tellus Therapeutics, Inc.",0001766205,8 DAVIS DRIVE,SUITE 220,DURHAM,NC,27709,15999999,35000000,21-FEB-2023,2023Q1
0001964363-23-000001,"Sensible Biotechnologies, Inc.",0001964363,2093 Philadelphia Pike #3008,,Claymont,DE,19703,1829000,3000000,21-FEB-2023,2023Q1
0001964755-23-000001,"Stitchlock, Inc.",0001964755,575 EAST MEDICAL CENTER BLVD,,WEBSTER,TX,77598,25000,4000000,21-FEB-2023,2023Q1
0001437749-23-003840,"VistaGen Therapeutics, Inc.",0001411685,343 Allerton Avenue,,South San Francisco,CA,94080,0,2798415,21-FEB-2023,2023Q1
