company_name,cik,source_record_id,address_street,address_city,address_state,address_zip,address_country,source_name,website_url,contact_name,contact_email,phone,notes,company_status,stage,one_liner
BioLife Plasma Services L.P.,,1000221914,,Hoover,AL,35244-1804,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3012599665,,Social Circle,GA,30025,,FDA Blood Registration,,,,,,,,
"CSL Plasma, Inc.",,1000307513,,Knoxville,TN,37932,,FDA Blood Registration,,,,,,,,
"Center for Disease Detection, Inc",,3003453488,,San Antonio,TX,78233,,FDA Blood Registration,,,,,,,,
Clinical Laboratory Associates of El Paso LLC. dba/ Clinical Laboratory Associates,,3015221640,,El Paso,TX,79936,,FDA Blood Registration,,,,,,,,
Creative Testing Solutions,,3000204058,,Tempe,AZ,85282,,FDA Blood Registration,,,,,,,,
Creative Testing Solutions,,3008082972,,St. Petersburg,FL,33716,,FDA Blood Registration,,,,,,,,
Creative Testing Solutions,,1000305305,,Maryland Heights,MO,63043,,FDA Blood Registration,,,,,,,,
Creative Testing Solutions,,1000140241,,Charlotte,NC,28273,,FDA Blood Registration,,,,,,,,
Creative Testing Solutions,,1071905,,Memphis,TN,38134,,FDA Blood Registration,,,,,,,,
Creative Testing Solutions,,3002580251,,Bedford,TX,76021,,FDA Blood Registration,,,,,,,,
Creative Testing Solutions,,3009143031,,San Marcos,TX,78666,,FDA Blood Registration,,,,,,,,
"Eurofins CellTx, LLC.",,3025981313,,Tucson,AZ,85747,,FDA Blood Registration,,,,,,,,
GC LabTech,,3014277785,,San Antonio,TX,78201,,FDA Blood Registration,,,,,,,,
"Medion Grifols Diagnostics AG Grifols Laboratory Solutions, Inc.",,3022101376,,San Marcos,TX,78666,,FDA Blood Registration,,,,,,,,
Laboratory Corporation of America-ViroMed Laboratories,,2183472,,Burlington,NC,27215,,FDA Blood Registration,,,,,,,,
National Blood Testing Partners,,3015738441,,Stone Mountain,GA,30083,,FDA Blood Registration,,,,,,,,
QualTex Laboratories,,3008670156,,Norcross,GA,30093-2922,,FDA Blood Registration,,,,,,,,
"Care Plasma, LLC QualTex Laboratories",,3006339676,,San Antonio,TX,78201,,FDA Blood Registration,,,,,,,,
Quest Diagnostics Nichols Institute,,3005010397,,Chantilly,VA,20151,,FDA Blood Registration,,,,,,,,
"ResearchLink Diagnostics, LLC",,3038624355,,South Gate,CA,90280,,FDA Blood Registration,,,,,,,,
"Sherman-Abrams Laboratory, Inc.",,3018642655,,Brooklyn,NY,11205,,FDA Blood Registration,,,,,,,,
"ABO Holdings, Inc. ABO Holdings Inc",,3026741153,,Orem,UT,84057,,FDA Blood Registration,,,,,,,,
"ABO Holdings, Inc. ABO Holdings, Inc",,3027619751,,San Diego,CA,92154,,FDA Blood Registration,,,,,,,,
"ABO Holdings, Inc.",,3030677734,,Calexico,CA,92231,,FDA Blood Registration,,,,,,,,
"ABO Holdings, Inc.",,3009416474,,Cherry Hill,NJ,08002,,FDA Blood Registration,,,,,,,,
"ABO Holdings, Inc.",,3013156927,,Glassboro,NJ,08028,,FDA Blood Registration,,,,,,,,
"ABO Holdings, Inc.",,3030678902,,West Valley City,UT,84119,,FDA Blood Registration,,,,,,,,
"ABO Holdings, Inc. ABO Holdings,Inc",,3039673658,,Laredo,TX,78040,,FDA Blood Registration,,,,,,,,
"ABO Holdings,Inc.",,,,Irvine,CA,92614,,FDA Blood Registration,,,,,,,,
ADMA BioCenters Georgia Inc.,,3020107047,,Conyers,GA,30013,,FDA Blood Registration,,,,,,,,
ADMA BioCenters Georgia Inc.,,3014149033,,Marietta,GA,30066,,FDA Blood Registration,,,,,,,,
ADMA BioCenters Georgia Inc.,,3024296552,,Dallas,GA,30157,,FDA Blood Registration,,,,,,,,
ADMA BioCenters Georgia Inc.,,3023212891,,Hammond,LA,70401,,FDA Blood Registration,,,,,,,,
ADMA BioCenters Georgia Inc.,,3022199418,,Greensboro,NC,27407,,FDA Blood Registration,,,,,,,,
ADMA BioCenters Georgia Inc.,,3018988280,,Goose Creek,SC,29445,,FDA Blood Registration,,,,,,,,
ADMA BioCenters Georgia Inc.,,3021121826,,Myrtle Beach,SC,29579,,FDA Blood Registration,,,,,,,,
American Blood Bank Corp.,,3007651216,,Miami,FL,33147,,FDA Blood Registration,,,,,,,,
B Positive National Blood Services,,3025325031,,Wilmington,DE,19805,,FDA Blood Registration,,,,,,,,
B Positive National Blood Services,,3023212897,,Bloomfield,NJ,07003,,FDA Blood Registration,,,,,,,,
B Positive National Blood Services,,3025617515,,Egg Harbor Township,NJ,08234,,FDA Blood Registration,,,,,,,,
B Positive National Blood Services,,3026851626,,Atlantic City,NJ,08401,,FDA Blood Registration,,,,,,,,
B Positive National Blood Services,,3027082024,,Bethlehem,PA,18017,,FDA Blood Registration,,,,,,,,
B Positive National Blood Services,,3030553177,,Easton,PA,18045,,FDA Blood Registration,,,,,,,,
B Positive National Blood Services,,3031224232,,Scranton,PA,18508,,FDA Blood Registration,,,,,,,,
B Positive National Blood Services,,3023715801,,Wyoming,PA,18644,,FDA Blood Registration,,,,,,,,
B Positive National Blood Services,,3023718437,,Edwardsville,PA,18704,,FDA Blood Registration,,,,,,,,
B Positive National Blood Services,,3024405568,,Holmes,PA,19043,,FDA Blood Registration,,,,,,,,
B Positive National Blood Services,,3030914485,,Merion Station,PA,19066,,FDA Blood Registration,,,,,,,,
B Positive National Blood Services,,3021760052,,Wyncote,PA,19095,,FDA Blood Registration,,,,,,,,
"BPC Plasma, Inc. BPC Plasma, Inc",,3012560581,,Brookings,SD,57006,,FDA Blood Registration,,,,,,,,
"BPC Plasma, Inc. BPC Plasma, Inc,",,1072432,,Gainesville,FL,32609,,FDA Blood Registration,,,,,,,,
"BPC Plasma, Inc.",,3011458585,,Conway,AR,72034,,FDA Blood Registration,,,,,,,,
"BPC Plasma, Inc.",,3015305641,,Russellville,AR,72801,,FDA Blood Registration,,,,,,,,
"BPC Plasma, Inc.",,3010402750,,Orlando,FL,32826,,FDA Blood Registration,,,,,,,,
"BPC Plasma, Inc.",,3010515468,,Melbourne,FL,32934,,FDA Blood Registration,,,,,,,,
