company_name,cik,source_record_id,address_street,address_city,address_state,address_zip,address_country,source_name,website_url,contact_name,contact_email,phone,notes,company_status,stage,one_liner
"Tyson Foods, Inc",,0001014492,233 S. Secrest Ave,Monroe,NC,28112,USA,DRLS Registration,,Rocky Latham,rocky.latham@tyson.com,,,,,
"Tyson Foods, Inc",,0001019355,855 Industrial Park Dr SE,Magee,MS,39111,USA,DRLS Registration,,Rocky Latham,rocky.latham@tyson.com,,,,,
"Amick Farms, LLC",,0001019819,631 Hawkes Rd #2,Laurel,MS,39443,USA,DRLS Registration,,Robert James,robert.james@amickfarms.com,,,,,
"Tyson Chicken, Inc.",,0001019948,1100 Railroad Ave,Albertville,AL,35951,USA,DRLS Registration,,Rocky Latham,rocky.latham@tyson.com,,,,,
"Amick Farms, LLC",,0001035607,8336 Highway 23,Monetta,SC,29105,USA,DRLS Registration,,Rhonda Frye,rfrye@amickfarms.com,,,,,
"Tyson Foods, Inc",,0001037161,206 Tyson Dr.,Estill Springs,TN,37330,USA,DRLS Registration,,Rocky Latham,rocky.latham@tyson.com,,,,,
"Tyson Foods, Inc",,0001038593,4949 State Hwy 90 W,Oglethorpe,GA,31068,USA,DRLS Registration,,Rocky Latham,rocky.latham@tyson.com,,,,,
"Multi-Kare, Inc.",,0001039050,555 Armour Street,Tifton,GA,31794,USA,DRLS Registration,,Crystal Kennedy,multikare@friendlycity.net,,,,,
"Tyson Foods, Inc",,0001041325,2011 Old Hanceville Highway,Cullman,AL,35055,USA,DRLS Registration,,Rocky Latham,rocky.latham@tyson.com,,,,,
"Tyson Foods, Inc",,0001050178,179 Roaring River Rd,Roaring River,NC,28669,USA,DRLS Registration,,Rocky Latham,rocky.latham@tyson.com,,,,,
"Tyson Foods, Inc",,0001051535,200 Carnes Chapel Rd,Attalla,AL,35954,USA,DRLS Registration,,Rocky Latham,rocky.latham@tyson.com,,,,,
"Tyson Foods, Inc",,0001060817,5100 Tim Rice Rd,South Fulton,TN,38257,USA,DRLS Registration,,Rocky Latham,rocky.latham@tyson.com,,,,,
"Tyson Foods, Inc",,0001111607,207 S Bay St,Snow Hill,MD,21863,USA,DRLS Registration,,Rocky Latham,rocky.latham@tyson.com,,,,,
