company_name,cik,source_record_id,address_street,address_city,address_state,address_zip,address_country,source_name,website_url,contact_name,contact_email,phone,notes,company_status,stage,one_liner
"IMPACT PROTEOMICS, LLC",,1R43AI197429-01,,Pittsburgh,PA,152061738,,nih_reporter,,Robyn Therese Domsic,,,,,,
"PERFUSION SOLUTIONS, INC.",,1R41HL184694-01,,South Euclid,OH,441213661,,nih_reporter,,Eric Loren Severson,,,,,,
"MICRO-LEADS, INC.",,1R44DC023860-01,,Somerville,MA,02144,,nih_reporter,,Bryan L Mclaughlin,,,,,,
"EMMUNE, INC",,1R44AI197364-01,,Juno Beach,FL,33408,,nih_reporter,,Michael David Alpert,,,,,,
"UV01 TECHNOLOGIES, INC",,1R43ES038453-01,,San Diego,CA,921132152,,nih_reporter,,Neil Edward Klepeis,,,,,,
"MONOD BIO, INC.",,1R43GM163512-01,,Seattle,WA,98195,,nih_reporter,,Alfredo  Quijano Rubio,,,,,,
NIGHTINGALE LABS CORPORATION,,1R44HL184876-01,,Solana Beach,CA,920751872,,nih_reporter,,Raymond C Chan,,,,,,
"JAN BIOTECH, INC.",,1R44AI195231-01,,Ithaca,NY,148501294,,nih_reporter,,Janet L Huie,,,,,,
"ISA ASSOCIATES, INC.",,1R43HL186938-01,,Arlington,VA,222031668,,nih_reporter,,Samantha L. Leaf,,,,,,
KEYLICON BIOSCIENCES INC,,1R43AI197306-01,,Brookline,MA,024455819,,nih_reporter,,Aaron Henry Colby,,,,,,
"MOUNTAIN BIOMETRICS, INC",,1R44LM015020-01,,Park City,UT,840605102,,nih_reporter,,Matthias  Christenson,,,,,,
"ILLUMINATION DIAGNOSTICS, INC.",,1R43EY038530-01,,Scarsdale,NY,105834402,,nih_reporter,,Melissa  Li,,,,,,
"ENVISAGENICS, INC.",,1R44CA310213-01,,Long Island City,NY,11101,,nih_reporter,,Martin  Akerman,,,,,,
"OMEGAQUANT ANALYTICS, LLC",,1R41EY038578-01,,Sioux Falls,SD,571063908,,nih_reporter,,Bill  Harris,,,,,,
NYTRICX INC.,,1R43HL184590-01,,Athens,GA,306021511,,nih_reporter,,Ronald J. Shebuski,,,,,,
GSI ENVIRONMENTAL INC.,,1R43ES037583-01A1,,Houston,TX,770984054,,nih_reporter,,Charles  Newell,,,,,,
"AQUILO SPORTS, LLC",,1R44HL184658-01,,Louisville,KY,40202,,nih_reporter,,Paul  Spence,,,,,,
"RIPTIDE BIOSCIENCE, INC.",,1R44AI197713-01,,Vallejo,CA,945921016,,nih_reporter,,Kathryn W Woodburn,,,,,,
"ONCOTAB, INC",,1R44CA306447-01A1,,Charlotte,NC,282230001,,nih_reporter,,Pinku  Mukherjee,,,,,,
"NANOHMICS, INC.",,1R43ES038796-01,,Austin,TX,787417510,,nih_reporter,,John  Bruno,,,,,,
"POP BIOTECHNOLOGIES, INC",,1R41HL184798-01A1,,Buffalo,NY,14228,,nih_reporter,,Kuang-Yuh  Chyu,,,,,,
BIOSIGNAL SOLUTIONS LLC,,1R43MH142174-01,,Cardiff,CA,920071632,,nih_reporter,,I-Wei  Shu,,,,,,
"INTRA THERAPEUTICS, INC.",,1R41CA314641-01,,Cary,NC,275197713,,nih_reporter,,David  Zaharoff,,,,,,
RESULTS GROUP,,1R43HD121341-01,,"Glastonbury, Ct",CT,06033,,nih_reporter,,Mark C Roser,,,,,,
"ACOUSTICABIO, INC.",,1R44TR006344-01,,Cambridge,MA,02139,,nih_reporter,,Daniele  Foresti,,,,,,
PANLUMINATE INC.,,1R44DK148299-01,,New Haven,CT,065115614,,nih_reporter,,Ons  M'Saad,,,,,,
"OPENBCI, INC.",,1R44MH142191-01,,Brooklyn,NY,11222,,nih_reporter,,Musa  Mahmood,,,,,,
"NABGEN, INC.",,1R41TR006064-01,,Durham,NC,277071743,,nih_reporter,,Chengwen  Li,,,,,,
"TEKTONYX BIO, INC",,1R43GM165195-01,,La Jolla,CA,920371029,,nih_reporter,,Sarah  Maxel,,,,,,
LEVEE MEDICAL INC,,1R44CA314945-01,,Raleigh,NC,276096307,,nih_reporter,,Bruce  Choi,,,,,,
