company_name,cik,source_record_id,address_street,address_city,address_state,address_zip,address_country,source_name,website_url,contact_name,contact_email,phone,notes
Altru Health System Altru Health System D.B.A. Dak Minn Blood Bank,,3009905846,,Grand Forks,ND,58201,,FDA Blood Component Preparation Facility Registration,,,,,
Department of Defense - Air Force Armed Services Whole Blood Processing Laboratory-West,,1000307132,,Travis AFB,CA,94535,,FDA Blood Component Preparation Facility Registration,,,,,
"Biological Specialty Company LLC dba BioIVT, LLC",,2577632,,Colmar,PA,18915,,FDA Blood Component Preparation Facility Registration,,,,,
"Biomat USA, Inc.",,3003537708,,Boca Raton,FL,33431,,FDA Blood Component Preparation Facility Registration,,,,,
"Canventa Life Sciences, Inc.",,3015820087,,Emeryville,CA,94608,,FDA Blood Component Preparation Facility Registration,,,,,
"Component Processing Laboratory, UCLA Health, Blood & Platelet Center",,2074237,,Los Angeles,CA,90095-1713,,FDA Blood Component Preparation Facility Registration,,,,,
"DLP Marquette General Hospital, LLC",,1000306322,,Escanaba,MI,49829,,FDA Blood Component Preparation Facility Registration,,,,,
"DonoVivo, LLC",,3025612837,,Novi,MI,48377,,FDA Blood Component Preparation Facility Registration,,,,,
"Frederick Health Hospital, Inc.",,3033574000,,Frederick,MD,21701,,FDA Blood Component Preparation Facility Registration,,,,,
"Greyledge Technologies, LLC",,3008724474,,Miami,FL,33133,,FDA Blood Component Preparation Facility Registration,,,,,
LifeServe Blood Center,,1970355,,Johnston,IA,50131,,FDA Blood Component Preparation Facility Registration,,,,,
LifeServe Blood Center,,1970344,,Sioux City,IA,51106,,FDA Blood Component Preparation Facility Registration,,,,,
LifeServe Blood Center,,3022881402,,Aberdeen,SD,57401,,FDA Blood Component Preparation Facility Registration,,,,,
"LifeSouth Community Blood Centers, Inc.",,1000112695,,Birmingham,AL,35209-6321,,FDA Blood Component Preparation Facility Registration,,,,,
"New York Blood Center, Inc.",,2473015,,Rye,NY,10580,,FDA Blood Component Preparation Facility Registration,,,,,
"New York Blood Center, Inc.",,2470902,,Westbury,NY,11590,,FDA Blood Component Preparation Facility Registration,,,,,
Oklahoma Blood Institute,,3003949970,,Tulsa,OK,74137-1902,,FDA Blood Component Preparation Facility Registration,,,,,
Oklahoma Blood Institute Oklahoma Blood Institute Arkansas Blood Institute - Little Rock,,3011714312,,Little Rock,AR,72211,,FDA Blood Component Preparation Facility Registration,,,,,
Oklahoma Blood Institute Oklahoma Blood Institute Coffee Memorial Blood Center,,1671267,,Amarillo,TX,79124,,FDA Blood Component Preparation Facility Registration,,,,,
"OneBlood, Inc.",,1072542,,Tallahassee,FL,32308,,FDA Blood Component Preparation Facility Registration,,,,,
"OneBlood, Inc.",,1070202,,Pensacola,FL,32514,,FDA Blood Component Preparation Facility Registration,,,,,
"OneBlood, Inc.",,1072594,,Hialeah,FL,33016,,FDA Blood Component Preparation Facility Registration,,,,,
"OneBlood, Inc.",,1070214,,Lake Park,FL,33403,,FDA Blood Component Preparation Facility Registration,,,,,
"OrganaBio,LLC",,3016082743,,Miami,FL,33167,,FDA Blood Component Preparation Facility Registration,,,,,
"Physician's Plasma Alliance Inc. (PPA) dba Biological Specialty Company (BSC) dba BioIVT, LLC",,3007934251,,Johnson City,TN,37615,,FDA Blood Component Preparation Facility Registration,,,,,
"Source Bio, Incorporated",,3006768036,,Temecula,CA,92590,,FDA Blood Component Preparation Facility Registration,,,,,
"Suncoast Communities Blood Bank, Inc.",,1051993,,Bradenton,FL,34211,,FDA Blood Component Preparation Facility Registration,,,,,
Tennessee Blood Services Corp. Tennessee Blood Services Corp. dba Biological Specialty Company (BSC) dba BioIVT,,1072765,,Memphis,TN,38105,,FDA Blood Component Preparation Facility Registration,,,,,
The American National Red Cross The American National Red Cross,,1073001,,Birmingham,AL,35242,,FDA Blood Component Preparation Facility Registration,,,,,
The American National Red Cross The American National Red Cross,,1073005,,Mobile,AL,36607,,FDA Blood Component Preparation Facility Registration,,,,,
The American National Red Cross The American National Red Cross,,1772995,,Great Falls,MT,59405-5296,,FDA Blood Component Preparation Facility Registration,,,,,
The American National Red Cross The American National Red Cross,,3008366020,,Las Vegas,NV,89119,,FDA Blood Component Preparation Facility Registration,,,,,
The Blood Center,,2374536,,Hammond,LA,70403,,FDA Blood Component Preparation Facility Registration,,,,,
"The Blood Connection, Incorporated",,3014286287,,Morrisville,NC,27560,,FDA Blood Component Preparation Facility Registration,,,,,
"Upstate New York Transplant Services, Inc.",,3000718051,,Williamsville,NY,14221,,FDA Blood Component Preparation Facility Registration,,,,,
Vascular Solutions LLC ( a subsidiary of Teleflex),,3002827704,,Maple Grove,MN,55369,,FDA Blood Component Preparation Facility Registration,,,,,
"Versiti Blood Health, Inc. Versiti Blood Health, Inc",,3015387520,,Columbus,OH,43202,,FDA Blood Component Preparation Facility Registration,,,,,
Vitalant,,3016436029,,Brisbane,CA,94005-1210,,FDA Blood Component Preparation Facility Registration,,,,,
Willis-Knighton South,,3009465978,,Shreveport,LA,71118,,FDA Blood Component Preparation Facility Registration,,,,,
