company_name,cik,source_record_id,address_street,address_city,address_state,address_zip,address_country,source_name,website_url,contact_name,contact_email,phone,notes
A2CL Services LLC (dba ACL Laboratories),,3005398579,,West Allis,WI,53227,,FDA HCT/P Registration,,,,,
AFMC Diamond Lab,,3017393442,,Diamond Bar,CA,91765,,FDA HCT/P Registration,,,,,
AFS PC dba Alabama Fertility Specialists,,3005056987,,Homewood,AL,35209,,FDA HCT/P Registration,,,,,
AHN Center for Reproductive Medicine,,3004571445,,Pittsburgh,PA,15275,,FDA HCT/P Registration,,,,,
ALLcare Fertility Center,,3027446107,,New York,NY,10017,,FDA HCT/P Registration,,,,,
ARK Repository LLC,,3027446888,,Taylorsville,UT,84119,,FDA HCT/P Registration,,,,,
"ART Reproductive Center, LLC",,3004628030,,Beverly Hills,CA,90210,,FDA HCT/P Registration,,,,,
"AU Medical Center, Inc.",,1070230,,Augusta,GA,30912-3625,,FDA HCT/P Registration,,,,,
"Acacio Fertility Center, Inc.",,3007791622,,Bakersfield,CA,93301,,FDA HCT/P Registration,,,,,
Access2Bone LLC,,3016690639,,Irvine,CA,92697,,FDA HCT/P Registration,,,,,
ActCell Labs,,3044600559,,New York,NY,10027,,FDA HCT/P Registration,,,,,
Adore Fertility LLC,,3031534076,,Mount Pleasant,SC,29464,,FDA HCT/P Registration,,,,,
"Adult HPC Transplant Program, North Shore University Hospital, Northwell Health",,3004011569,,Manhasset,NY,11030,,FDA HCT/P Registration,,,,,
Advanced Care for Women,,3044734865,,Green Bay,WI,54304,,FDA HCT/P Registration,,,,,
"Advanced Fertility Associates Medical Group, Inc.",,3005106396,,Santa Rosa,CA,95405,,FDA HCT/P Registration,,,,,
"Advanced Fertility Care, LLC, Arizona Advanced Reproductive Laboratory, LLC (DBA Pinnacle Fertilty)",,1000451317,,Tucson,AZ,85712,,FDA HCT/P Registration,,,,,
Advanced Fertility Center of Chicago,,3004518396,,Gurnee,IL,60031,,FDA HCT/P Registration,,,,,
Advanced Fertility Center of Chicago - River North,,3036128569,,CHICAGO,IL,60654,,FDA HCT/P Registration,,,,,
"Advanced Fertility Group, PC",,3008927677,,Indianapolis,IN,46237,,FDA HCT/P Registration,,,,,
Advanced Fertility of Alaska,,3024834518,,Anchorage,AK,99507,,FDA HCT/P Registration,,,,,
"Advanced Reproductive Engineering Services,, LLC",,3043065973,,Beverly Hills,CA,90210,,FDA HCT/P Registration,,,,,
"Advanced Reproductive Health Center, LTD",,3009383076,,Orland Park,IL,60467,,FDA HCT/P Registration,,,,,
"Advanced Reproductive Medicine & Gynecology of Hawaii, DBA: Fertility Institute of Hawaii",,3008791698,,Honolulu,HI,96814,,FDA HCT/P Registration,,,,,
Advanced Reproductive Technologies of Santa Barbara,,3010857889,,Santa Barbara,CA,93101,,FDA HCT/P Registration,,,,,
AdventHealth Medical Group Fertility Shawnee Mission,,3005885076,,Merriam,KS,66204,,FDA HCT/P Registration,,,,,
Advocate Lutheran General Hospital,,1471525,,Park Ridge,IL,60068,,FDA HCT/P Registration,,,,,
"Akan Biosciences, Inc.",,3017871874,,Gaithersburg,MD,20879,,FDA HCT/P Registration,,,,,
Akesoe Biologics LLC,,3033413967,,Winter Springs,FL,32708,,FDA HCT/P Registration,,,,,
Alabama Center for Reproductive Medicine,,3015364206,,Birmingham,AL,35209,,FDA HCT/P Registration,,,,,
"Albany Fertility and Gyn. PLLC, Boston IVF The Syracuse Center",,3014737417,,Syracuse,NY,13214,,FDA HCT/P Registration,,,,,
Albany IVF Fertility and GYN DBA Boston IVF The Rochester Center,,3003972347,,Rochester,NY,14626,,FDA HCT/P Registration,,,,,
Albany IVF Fertility and Gynecology PLLC DBA Boston IVF The Albany Center,,3004894521,,Loudonville,NY,12211,,FDA HCT/P Registration,,,,,
"Alfred J. Rodriguez, M.D, P.A.",,3006523527,,Plano,TX,75093,,FDA HCT/P Registration,,,,,
"Aligneage Fertility Laboratory, LLC",,3029756122,,New York,NY,10017,,FDA HCT/P Registration,,,,,
"AllCells, LLC",,3020909810,,Quincy,MA,02169,,FDA HCT/P Registration,,,,,
"AllCells, a Discovery Life Science company",,3010226283,,Alameda,CA,94502,,FDA HCT/P Registration,,,,,
Allegheny Health Network Cancer Institute West Penn Hospital,,2572844,,Pittsburgh,PA,15224,,FDA HCT/P Registration,,,,,
Allen Reproductive Center,,3012838752,,McKinney,TX,75070,,FDA HCT/P Registration,,,,,
AlloSource,,3000215346,,Centennial,CO,80111,,FDA HCT/P Registration,,,,,
"Allotech, LLC",,3008808855,,Lubbock,TX,79424,,FDA HCT/P Registration,,,,,
"Allotex, Inc.",,3013576805,,Boston,MA,02210,,FDA HCT/P Registration,,,,,
"Amend Surgical, Inc.",,3012161787,,Alachua,FL,32615,,FDA HCT/P Registration,,,,,
America Cell Biobank Inc.,,3010851828,,Westfield NJ 07091-2189,NJ,07091-2189,,FDA HCT/P Registration,,,,,
"American Cell Technology, LC",,3015973705,,Sunrise,FL,33325,,FDA HCT/P Registration,,,,,
American Infertility of NY,,3003969128,,New York,NY,10021,,FDA HCT/P Registration,,,,,
American Stem Cell Innovation,,,,Irvine,CA,92617,,FDA HCT/P Registration,,,,,
"Americord Registry, LLC.",,3006988080,,Somerset,NJ,08873,,FDA HCT/P Registration,,,,,
AmnioGift LLC,,3033729599,,Oak Harbor,WA,98277,,FDA HCT/P Registration,,,,,
Amnion LLC,,3017609580,,Sterling,VA,20165,,FDA HCT/P Registration,,,,,
"Amnitrans USA, LLC",,3042351108,,Vestavia Hills,AL,35242,,FDA HCT/P Registration,,,,,
Andra Andrology and Embryology LLC,,3028170576,,Austin,TX,78756,,FDA HCT/P Registration,,,,,
"Andrology Laboratory Services, Inc",,3003966296,,Oakbrook Terrace,IL,60181,,FDA HCT/P Registration,,,,,
Ann Kimball & John W. Johnson Center for Cellular Therapeutics (KJCCT) Facility,,3043799577,,Houston,TX,77030,,FDA HCT/P Registration,,,,,
Annandale Fertility,,3030902381,,Fairfax,VA,22031,,FDA HCT/P Registration,,,,,
Apana Sperm Washing,,3041701178,,Tampa,FL,33647,,FDA HCT/P Registration,,,,,
Apheresis Associates of Northern Virginia,,3003695983,,Annandale,VA,22003,,FDA HCT/P Registration,,,,,
Applied Biologics LLC,,3009079462,,Scottsdale,AZ,85258,,FDA HCT/P Registration,,,,,
Arbor Fertility,,3030593851,,Chesterfield,MO,63017,,FDA HCT/P Registration,,,,,
Arizona Advanced Reproductive Laboratory LLC (dba Pinnacle Fertility - Arizona),,3005605719,,Scottsdale,AZ,85258,,FDA HCT/P Registration,,,,,
Arizona Andrology Laboratory & Cryobank,,3004628096,,Tuscon,AZ,85710,,FDA HCT/P Registration,,,,,
Arizona Center for Reproductive Endocrinology and Infertility,,3005391124,,Tucson,AZ,85712,,FDA HCT/P Registration,,,,,
Arizona Reproductive Medicine Specialists,,3003941314,,Phoenix,AZ,85016,,FDA HCT/P Registration,,,,,
Arkansas Fertility & Gynecology Associates,,3005338425,,Little Rock,AR,72205,,FDA HCT/P Registration,,,,,
"Arthur M. Blank Hospital, Inc.",,1000305448,,Atlanta,GA,30329,,FDA HCT/P Registration,,,,,
"Artivion, Inc.",,3001451326,,Kennesaw,GA,30144,,FDA HCT/P Registration,,,,,
"Ascension Via Christi Hospitals Wichita, Inc.",,1970374,,Wichita,KS,67214,,FDA HCT/P Registration,,,,,
Aspire Fertility Institute Austin,,3010894725,,Austin,TX,78705-1100,,FDA HCT/P Registration,,,,,
Aspire Fertility Institute Dallas,,3012838671,,Addison,TX,75001,,FDA HCT/P Registration,,,,,
Aspire Fertility Institute San Antonio,,3006601457,,San Antonio,TX,78258,,FDA HCT/P Registration,,,,,
Assisted Fertility Program,,3005033067,,Jacksonville,FL,32216,,FDA HCT/P Registration,,,,,
"Assisted Reproductive Technologies Medical Group, Inc.",,3007014169,,Encino,CA,91316,,FDA HCT/P Registration,,,,,
