company_name,cik,source_record_id,address_street,address_city,address_state,address_zip,address_country,source_name,website_url,contact_name,contact_email,phone,notes
BioLife Plasma Services L.P.,,1000221914,,Hoover,AL,35244-1804,,FDA Blood Product Testing Laboratory Registration,,,,,
BioLife Plasma Services L.P.,,3012599665,,Social Circle,GA,30025,,FDA Blood Product Testing Laboratory Registration,,,,,
"CSL Plasma, Inc.",,1000307513,,Knoxville,TN,37932,,FDA Blood Product Testing Laboratory Registration,,,,,
"Center for Disease Detection, Inc",,3003453488,,San Antonio,TX,78233,,FDA Blood Product Testing Laboratory Registration,,,,,
Clinical Laboratory Associates of El Paso LLC. dba/ Clinical Laboratory Associates,,3015221640,,El Paso,TX,79936,,FDA Blood Product Testing Laboratory Registration,,,,,
Creative Testing Solutions,,3000204058,,Tempe,AZ,85282,,FDA Blood Product Testing Laboratory Registration,,,,,
Creative Testing Solutions,,3008082972,,St. Petersburg,FL,33716,,FDA Blood Product Testing Laboratory Registration,,,,,
Creative Testing Solutions,,1000305305,,Maryland Heights,MO,63043,,FDA Blood Product Testing Laboratory Registration,,,,,
Creative Testing Solutions,,1000140241,,Charlotte,NC,28273,,FDA Blood Product Testing Laboratory Registration,,,,,
Creative Testing Solutions,,1071905,,Memphis,TN,38134,,FDA Blood Product Testing Laboratory Registration,,,,,
Creative Testing Solutions,,3002580251,,Bedford,TX,76021,,FDA Blood Product Testing Laboratory Registration,,,,,
Creative Testing Solutions,,3009143031,,San Marcos,TX,78666,,FDA Blood Product Testing Laboratory Registration,,,,,
"Eurofins CellTx, LLC.",,3025981313,,Tucson,AZ,85747,,FDA Blood Product Testing Laboratory Registration,,,,,
GC LabTech,,3014277785,,San Antonio,TX,78201,,FDA Blood Product Testing Laboratory Registration,,,,,
"Medion Grifols Diagnostics AG Grifols Laboratory Solutions, Inc.",,3022101376,,San Marcos,TX,78666,,FDA Blood Product Testing Laboratory Registration,,,,,
Laboratory Corporation of America-ViroMed Laboratories,,2183472,,Burlington,NC,27215,,FDA Blood Product Testing Laboratory Registration,,,,,
National Blood Testing Partners,,3015738441,,Stone Mountain,GA,30083,,FDA Blood Product Testing Laboratory Registration,,,,,
QualTex Laboratories,,3008670156,,Norcross,GA,30093-2922,,FDA Blood Product Testing Laboratory Registration,,,,,
QualTex Laboratories,,3006339676,,San Antonio,TX,78201,,FDA Blood Product Testing Laboratory Registration,,,,,
Quest Diagnostics Nichols Institute,,3005010397,,Chantilly,VA,20151,,FDA Blood Product Testing Laboratory Registration,,,,,
"ResearchLink Diagnostics, LLC",,3038624355,,South Gate,CA,90280,,FDA Blood Product Testing Laboratory Registration,,,,,
"Sherman-Abrams Laboratory, Inc.",,,,Brooklyn,NY,11205,,FDA Blood Product Testing Laboratory Registration,,,,,
