company_name,cik,source_record_id,address_street,address_city,address_state,address_zip,address_country,source_name,website_url,contact_name,contact_email,phone,notes
NUTECH SPINE,,93a490fa9bfe9cdb,,Birmingham,AL,,US,BioPharmGuy,https://nutechspine.com/,,,,
AMNIO TECHNOLOGY,,cdbdd064c5881135,,Phoenix,AZ,,US,BioPharmGuy,https://amniotechnology.com/,,,,
BREAKTHRU MEDICINE,,8ebda772d3332494,,Phoenix,AZ,,US,BioPharmGuy,https://www.breakthrumed.com/,,,,
PINNACLE TRANSPLANT,,070cd0b39444bb4a,,Phoenix,AZ,,US,BioPharmGuy,https://pinnacletransplant.com/,,,,
APPLIED BIOLOGICS,,a6a386febb65cf18,,Scottsdale,AZ,,US,BioPharmGuy,https://www.appliedbiologics.com/,,,,
JOCASTA NEUROSCIENCE,,2d338dee63784f93,,Scottsdale,AZ,,US,BioPharmGuy,https://www.jocastaneuro.com/,,,,
SURGENEX,,b03f431a30694000,,Scottsdale,AZ,,US,BioPharmGuy,https://www.surgenex.com/,,,,
IMETABOLIC BIOPHARMA,,b5757f655b9aa848,,Tempe,AZ,,US,BioPharmGuy,https://imbiopharma.com/,,,,
AQUALUNG THERAPEUTICS,,62423cf7cf558452,,Tucson,AZ,,US,BioPharmGuy,https://www.aqualungtherapeutics.com/,,,,
ASPIRO THERAPEUTICS,,6ad5c65771f5d288,,Tucson,AZ,,US,BioPharmGuy,https://aspirotx.com/,,,,
RAESEDO,,7b474ff4cc889ad6,,Tucson,AZ,,US,BioPharmGuy,https://raesedoinc.com/,,,,
A2 BIOTHERAPEUTICS,,45950fd31af29599,,Agoura Hills,CA,,US,BioPharmGuy,https://www.a2bio.com/,,,,
INFINIMMUNE,,a065e9d59898e5c9,,Alameda,CA,,US,BioPharmGuy,https://www.infinimmune.com/,,,,
SANTA ANA BIO,,f9436b7d6cc9a732,,Alameda,CA,,US,BioPharmGuy,https://www.santaana.bio/,,,,
NEUMEDICINES,,7ed37d594cdb6a6b,,Arcadia,CA,,US,BioPharmGuy,https://www.neumedicines.com/,,,,
STEMCYTE,,5bf8c00ad22e56fb,,Baldwin Park,CA,,US,BioPharmGuy,https://stemcyte.com/,,,,
SOLVE THERAPEUTICS,,23b3c52e1a6fa112,,Belmont,CA,,US,BioPharmGuy,https://solvetx.com/,,,,
COAGULANT THERAPEUTICS,,eba2b4c6a43d41ff,,Berkeley,CA,,US,BioPharmGuy,https://www.coagulanttherapeutics.com/,,,,
CONCEPTION,,e5dfe95e9c1f55b6,,Berkeley,CA,,US,BioPharmGuy,https://www.conception.bio/,,,,
CURA THERAPEUTICS,,1f8595d082710bd2,,Berkeley,CA,,US,BioPharmGuy,https://www.curatherapeutics.com/,,,,
DEXTERA BIOSCIENCES,,601f96aa669b0f24,,Berkeley,CA,,US,BioPharmGuy,https://dexterabio.com/,,,,
PRELLIS BIOLOGICS,,0836d3b22d05aa63,,Berkeley,CA,,US,BioPharmGuy,https://prellisbio.com/,,,,
RESVITA BIO,,3fff0543121f6dfb,,Berkeley,CA,,US,BioPharmGuy,https://resvitabio.com/,,,,
VALITOR,,e9cc720607b829c1,,Berkeley,CA,,US,BioPharmGuy,https://www.valitorbio.com/,,,,
ANNEXON BIOSCIENCES,,660f7cebea6c6697,,Brisbane,CA,,US,BioPharmGuy,https://annexonbio.com/,,,,
BRISTOL MYERS SQUIBB,,287c28f13eca6d8b,,Brisbane,CA,,US,BioPharmGuy,https://www.bms.com/,,,,
DELPOR,,d866f321c72de69b,,Brisbane,CA,,US,BioPharmGuy,https://delpor.com/,,,,
PROTHENA,,3b05a9b86304d014,,Brisbane,CA,,US,BioPharmGuy,https://www.prothena.com/,,,,
ULTRAGENYX PHARMACEUTICAL,,32f9d08f71655f24,,Brisbane,CA,,US,BioPharmGuy,https://www.ultragenyx.com/,,,,
VERA THERAPEUTICS,,360df0ff6b4eeb36,,Brisbane,CA,,US,BioPharmGuy,https://veratx.com/,,,,
APEXIMMUNE,,93caaed7b6924ea3,,Burlingame,CA,,US,BioPharmGuy,https://www.apeximmune.com/,,,,
ASHIBIO,,adfd0301c3325f12,,Burlingame,CA,,US,BioPharmGuy,https://ashibio.com/,,,,
HINGE BIO,,2b3dadb0ba7636ba,,Burlingame,CA,,US,BioPharmGuy,https://hingebio.com/,,,,
TALLAC THERAPEUTICS,,c98a8893c096de17,,Burlingame,CA,,US,BioPharmGuy,https://www.tallactherapeutics.com/,,,,
TARAN THERAPEUTICS,,47cf9bcff5c7ffd2,,Burlingame,CA,,US,BioPharmGuy,https://www.tarantherapeutics.com/,,,,
REMD BIOTHERAPEUTICS,,cc907d683240bad2,,Camarillo,CA,,US,BioPharmGuy,http://www.remdbio.com/,,,,
LINEAGE CELL THERAPEUTICS,,339782dc3eda99a2,,Carlsbad,CA,,US,BioPharmGuy,https://lineagecell.com/,,,,
TORL BIOTHERAPEUTICS,,47f985e84a5cf751,,Culver City,CA,,US,BioPharmGuy,https://torlbio.com/,,,,
KITE PHARMA,,3418982a21acb07d,,El Segundo,CA,,US,BioPharmGuy,https://www.kitepharma.com/,,,,
